instance_family,node_count,salesman_count,solver,runs,avg_objective,avg_time_seconds,avg_step_time_seconds,valid_runs
clustered-center,20,5,lkh-wrapper-v3,1,44.659719,0.000457,0.00044,1
clustered-center,20,5,rand+nn,1,127.404112,2.3e-05,1.5e-05,1
clustered-center,50,2,2opt+greed,1,175.79265,5.6e-05,4.6e-05,1
clustered-center,50,2,lkh-wrapper-v2,1,143.474983,0.003458,0.003447,1
clustered-center,50,2,lkh-wrapper-v3,1,143.795147,0.00154,0.001531,1
clustered-center,50,2,rand+nn,1,215.38539,3e-05,2.3e-05,1
clustered-center,50,3,2opt+greed,1,203.042191,6e-05,4.4e-05,1
clustered-center,50,3,lkh-wrapper-v2,1,148.338563,0.002659,0.002652,1
clustered-center,50,3,lkh-wrapper-v3,1,148.213061,0.002706,0.002695,1
clustered-center,50,3,rand+nn,1,291.151934,3.8e-05,2.9e-05,1
clustered-center,50,5,2opt+greed,1,316.198869,5.2e-05,4.1e-05,1
clustered-center,50,5,lkh-wrapper-v2,1,147.697518,0.002839,0.002824,1
clustered-center,50,5,lkh-wrapper-v3,1,148.261137,0.001566,0.001556,1
clustered-center,50,5,rand+nn,1,431.681531,3.1e-05,2.3e-05,1
clustered-center,100,2,2opt+greed,1,354.975624,0.000202,0.000184,1
clustered-center,100,2,lkh-wrapper-v2,1,241.659906,0.004741,0.004732,1
clustered-center,100,2,lkh-wrapper-v3,1,241.103859,0.00514,0.00513,1
clustered-center,100,2,rand+nn,1,391.839938,4.5e-05,3.8e-05,1
clustered-center,100,3,2opt+greed,1,413.114649,0.000226,0.000205,1
clustered-center,100,3,lkh-wrapper-v2,1,268.337291,0.005648,0.00564,1
clustered-center,100,3,lkh-wrapper-v3,1,266.967263,0.003934,0.003925,1
clustered-center,100,3,rand+nn,1,603.526857,4.3e-05,3.5e-05,1
clustered-center,100,5,2opt+greed,1,552.750168,0.000124,0.000113,1
clustered-center,100,5,lkh-wrapper-v2,1,324.746453,0.010718,0.010702,1
clustered-center,100,5,lkh-wrapper-v3,1,347.844827,0.006681,0.006671,1
clustered-center,100,5,rand+nn,1,856.641308,4.5e-05,3.6e-05,1
clustered-center,200,2,2opt+greed,1,368.3072,0.000658,0.000645,1
clustered-center,200,2,lkh-wrapper-v2,1,303.402859,0.020078,0.02006,1
clustered-center,200,2,lkh-wrapper-v3,1,299.761805,0.015127,0.015112,1
clustered-center,200,2,rand+nn,1,536.233986,8.9e-05,8.1e-05,1
clustered-center,200,3,2opt+greed,1,549.078739,0.000387,0.000373,1
clustered-center,200,3,lkh-wrapper-v2,1,312.047035,0.025076,0.025055,1
clustered-center,200,3,lkh-wrapper-v3,1,311.849175,0.013452,0.013432,1
clustered-center,200,3,rand+nn,1,735.854341,7.8e-05,7e-05,1
clustered-center,200,5,2opt+greed,1,651.492507,0.000492,0.000475,1
clustered-center,200,5,lkh-wrapper-v2,1,373.939293,0.028757,0.028739,1
clustered-center,200,5,lkh-wrapper-v3,1,375.489491,0.013496,0.013486,1
clustered-center,200,5,rand+nn,1,1068.894049,7.8e-05,6.9e-05,1
clustered-center,500,2,2opt+greed,1,1351.981451,0.00417,0.004154,1
clustered-center,500,2,lkh-wrapper-v2,1,1033.312334,0.248687,0.248666,1
clustered-center,500,2,lkh-wrapper-v3,1,1033.756885,0.118118,0.118095,1
clustered-center,500,2,rand+nn,1,1881.11239,0.000324,0.000312,1
clustered-center,500,3,2opt+greed,1,1603.110348,0.00211,0.002094,1
clustered-center,500,3,lkh-wrapper-v2,1,1040.916,0.338444,0.33842,1
clustered-center,500,3,lkh-wrapper-v3,1,1057.479193,0.066585,0.066567,1
clustered-center,500,3,rand+nn,1,2355.189563,0.000257,0.000244,1
clustered-center,500,5,2opt+greed,1,2095.265347,0.00199,0.001972,1
clustered-center,500,5,lkh-wrapper-v2,1,1273.103344,0.381747,0.381727,1
clustered-center,500,5,lkh-wrapper-v3,1,1266.238493,0.054747,0.054726,1
clustered-center,500,5,rand+nn,1,3608.929737,0.000322,0.000308,1
clustered-center,1000,3,2opt+greed,1,3955.030828,0.015367,0.015301,1
clustered-center,1000,3,lkh-wrapper-v2,1,3214.801986,2.544988,2.544963,1
clustered-center,1000,3,lkh-wrapper-v3,1,3227.650724,0.739601,0.739556,1
clustered-center,1000,3,rand+nn,1,6799.669318,0.001523,0.001497,1
clustered-center,1000,5,2opt+greed,1,5026.595117,0.012,0.01195,1
clustered-center,1000,5,lkh-wrapper-v2,1,3307.827614,3.068282,3.068254,1
clustered-center,1000,5,lkh-wrapper-v3,1,3314.017393,0.234575,0.23446,1
clustered-center,1000,5,rand+nn,1,9511.20608,0.002661,0.002623,1
clustered-center,1000,7,2opt+greed,1,5755.324768,0.007238,0.007193,1
clustered-center,1000,7,lkh-wrapper-v2,1,3503.177318,10.641077,10.641053,1
clustered-center,1000,7,lkh-wrapper-v3,1,3318.582621,0.251277,0.251225,1
clustered-center,1000,7,rand+nn,1,11775.341896,0.000866,0.000841,1
clustered-offset-depot,20,2,2opt+greed,1,68.396762,2.3e-05,1.3e-05,1
clustered-offset-depot,20,2,lkh-wrapper-v2,1,54.536331,0.000552,0.000542,1
clustered-offset-depot,20,2,lkh-wrapper-v3,1,54.536331,0.00053,0.000518,1
clustered-offset-depot,20,2,rand+nn,1,69.894847,3.7e-05,1.4e-05,1
clustered-offset-depot,20,3,2opt+greed,1,78.525284,2.8e-05,1.7e-05,1
clustered-offset-depot,20,3,lkh-wrapper-v2,1,47.401893,0.000618,0.000608,1
clustered-offset-depot,20,3,lkh-wrapper-v3,1,47.401893,0.000435,0.000422,1
clustered-offset-depot,20,3,rand+nn,1,88.895757,2.2e-05,1.5e-05,1
clustered-offset-depot,20,5,2opt+greed,1,135.049296,2.5e-05,1.4e-05,1
clustered-offset-depot,20,5,lkh-wrapper-v2,1,67.804122,0.000689,0.000683,1
clustered-offset-depot,20,5,lkh-wrapper-v3,1,67.804122,0.000642,0.000635,1
clustered-offset-depot,20,5,rand+nn,1,143.944879,2.2e-05,1.5e-05,1
clustered-offset-depot,50,2,2opt+greed,1,91.392755,8.9e-05,7.2e-05,1
clustered-offset-depot,50,2,lkh-wrapper-v2,1,70.473353,0.002603,0.002594,1
clustered-offset-depot,50,2,lkh-wrapper-v3,1,72.858662,0.001597,0.001587,1
clustered-offset-depot,50,2,rand+nn,1,112.124464,3.7e-05,2.7e-05,1
clustered-offset-depot,50,3,2opt+greed,1,132.879663,5.2e-05,4.1e-05,1
clustered-offset-depot,50,3,lkh-wrapper-v2,1,110.192674,0.002236,0.002226,1
clustered-offset-depot,50,3,lkh-wrapper-v3,1,110.192674,0.001244,0.001237,1
clustered-offset-depot,50,3,rand+nn,1,203.952582,2.8e-05,2.1e-05,1
clustered-offset-depot,50,5,2opt+greed,1,231.5311,5.1e-05,4e-05,1
clustered-offset-depot,50,5,lkh-wrapper-v2,1,124.315956,0.002011,0.001993,1
clustered-offset-depot,50,5,lkh-wrapper-v3,1,124.315956,0.001382,0.001373,1
clustered-offset-depot,50,5,rand+nn,1,308.504442,3.1e-05,2.3e-05,1
clustered-offset-depot,100,2,2opt+greed,1,287.327772,0.000202,0.000184,1
clustered-offset-depot,100,2,lkh-wrapper-v2,1,188.970161,0.004102,0.00409,1
clustered-offset-depot,100,2,lkh-wrapper-v3,1,185.514298,0.007112,0.007097,1
clustered-offset-depot,100,2,rand+nn,1,353.506765,4.5e-05,3.6e-05,1
clustered-offset-depot,100,3,2opt+greed,1,350.072441,0.000127,0.000116,1
clustered-offset-depot,100,3,lkh-wrapper-v2,1,193.447099,0.005281,0.005271,1
clustered-offset-depot,100,3,lkh-wrapper-v3,1,190.249456,0.007246,0.007232,1
clustered-offset-depot,100,3,rand+nn,1,449.526081,4.9e-05,4.2e-05,1
clustered-offset-depot,100,5,2opt+greed,1,364.604012,0.000111,9.5e-05,1
clustered-offset-depot,100,5,lkh-wrapper-v2,1,145.961164,0.005732,0.005719,1
clustered-offset-depot,100,5,lkh-wrapper-v3,1,180.76145,0.039142,0.039129,1
clustered-offset-depot,100,5,rand+nn,1,452.756628,4.9e-05,3.4e-05,1
clustered-offset-depot,200,2,2opt+greed,1,469.473329,0.000769,0.000745,1
clustered-offset-depot,200,2,lkh-wrapper-v2,1,305.761912,0.022903,0.022888,1
clustered-offset-depot,200,2,lkh-wrapper-v3,1,311.201017,0.053899,0.053886,1
clustered-offset-depot,200,2,rand+nn,1,585.959619,8.7e-05,7.8e-05,1
clustered-offset-depot,200,3,2opt+greed,1,633.826392,0.000463,0.000451,1
clustered-offset-depot,200,3,lkh-wrapper-v2,1,306.48582,0.022002,0.021989,1
clustered-offset-depot,200,3,lkh-wrapper-v3,1,316.387901,0.050406,0.050392,1
clustered-offset-depot,200,3,rand+nn,1,766.644397,7.5e-05,6.7e-05,1
clustered-offset-depot,200,5,2opt+greed,1,860.988793,0.000332,0.000317,1
clustered-offset-depot,200,5,lkh-wrapper-v2,1,311.223046,0.017036,0.017024,1
clustered-offset-depot,200,5,lkh-wrapper-v3,1,309.780158,0.026376,0.026363,1
clustered-offset-depot,200,5,rand+nn,1,1071.04916,7.4e-05,6.4e-05,1
clustered-offset-depot,500,2,2opt+greed,1,1514.141483,0.003927,0.003886,1
clustered-offset-depot,500,2,lkh-wrapper-v2,1,1092.345148,0.098434,0.098412,1
clustered-offset-depot,500,2,lkh-wrapper-v3,1,1086.145795,0.318206,0.318175,1
clustered-offset-depot,500,2,rand+nn,1,1987.487869,0.000466,0.000452,1
clustered-offset-depot,500,3,2opt+greed,1,2108.520396,0.002758,0.002707,1
clustered-offset-depot,500,3,lkh-wrapper-v2,1,1235.847647,0.150523,0.150508,1
clustered-offset-depot,500,3,lkh-wrapper-v3,1,1575.398434,5.047346,5.047325,1
clustered-offset-depot,500,3,rand+nn,1,3102.748183,0.000509,0.000495,1
clustered-offset-depot,500,5,2opt+greed,1,2903.318828,0.001884,0.001866,1
clustered-offset-depot,500,5,lkh-wrapper-v2,1,1153.328124,0.218552,0.218534,1
clustered-offset-depot,500,5,lkh-wrapper-v3,1,1158.791673,0.793623,0.793591,1
clustered-offset-depot,500,5,rand+nn,1,4162.728004,0.00038,0.000355,1
clustered-offset-depot,1000,3,2opt+greed,1,5394.445828,0.018265,0.018189,1
clustered-offset-depot,1000,3,lkh-wrapper-v2,1,3043.069658,0.584709,0.584677,1
clustered-offset-depot,1000,3,lkh-wrapper-v3,1,3056.223966,3.985301,3.985276,1
clustered-offset-depot,1000,3,rand+nn,1,7218.462161,0.000879,0.000859,1
clustered-offset-depot,1000,5,2opt+greed,1,4621.539536,0.007327,0.007279,1
clustered-offset-depot,1000,5,lkh-wrapper-v2,1,2302.508044,0.777858,0.777829,1
clustered-offset-depot,1000,5,lkh-wrapper-v3,1,2280.616711,2.614754,2.614727,1
clustered-offset-depot,1000,5,rand+nn,1,7126.829689,0.000758,0.000737,1
clustered-offset-depot,1000,7,2opt+greed,1,7412.768293,0.010484,0.010435,1
clustered-offset-depot,1000,7,lkh-wrapper-v2,1,2458.212251,0.589192,0.589166,1
clustered-offset-depot,1000,7,lkh-wrapper-v3,1,2456.384726,2.659203,2.659153,1
clustered-offset-depot,1000,7,rand+nn,1,10732.858942,0.001428,0.001393,1
outliers,20,2,2opt+greed,1,52.467898,3.5e-05,1.8e-05,1
outliers,20,2,lkh-wrapper-v2,1,45.227535,0.000503,0.000495,1
outliers,20,2,lkh-wrapper-v3,1,45.227535,0.000358,0.00035,1
outliers,20,2,rand+nn,1,77.168288,2e-05,1.3e-05,1
outliers,20,3,2opt+greed,1,70.063848,2.4e-05,1.5e-05,1
outliers,20,3,lkh-wrapper-v2,1,47.434064,0.000285,0.000278,1
outliers,20,3,lkh-wrapper-v3,1,47.434064,0.000269,0.000261,1
outliers,20,3,rand+nn,1,93.634037,3.5e-05,2.6e-05,1
outliers,20,5,2opt+greed,1,100.333217,3.1e-05,1.8e-05,1
outliers,20,5,lkh-wrapper-v2,1,56.350979,0.000692,0.000685,1
outliers,20,5,lkh-wrapper-v3,1,63.896416,0.000525,0.000517,1
outliers,20,5,rand+nn,1,129.345412,2.2e-05,1.4e-05,1
outliers,50,2,2opt+greed,1,147.437677,5.5e-05,4.4e-05,1
outliers,50,2,lkh-wrapper-v2,1,150.219013,0.001754,0.001745,1
outliers,50,2,lkh-wrapper-v3,1,151.157532,0.001591,0.001577,1
outliers,50,2,rand+nn,1,212.90777,3.5e-05,2.3e-05,1
outliers,50,3,2opt+greed,1,205.045313,5.3e-05,4.3e-05,1
outliers,50,3,lkh-wrapper-v2,1,152.35931,0.001685,0.001678,1
outliers,50,3,lkh-wrapper-v3,1,153.145088,0.001627,0.001597,1
outliers,50,3,rand+nn,1,297.06253,3.1e-05,2.3e-05,1
outliers,50,5,2opt+greed,1,307.224874,4.3e-05,3.2e-05,1
outliers,50,5,lkh-wrapper-v2,1,148.198835,0.002696,0.002684,1
outliers,50,5,lkh-wrapper-v3,1,144.103889,0.001342,0.001334,1
outliers,50,5,rand+nn,1,443.197463,3.3e-05,2.5e-05,1
outliers,100,2,2opt+greed,1,409.547369,0.000176,0.000164,1
outliers,100,2,lkh-wrapper-v2,1,344.136105,0.019219,0.019199,1
outliers,100,2,lkh-wrapper-v3,1,344.564202,0.019293,0.019277,1
outliers,100,2,rand+nn,1,516.011217,4.4e-05,3.7e-05,1
outliers,100,3,2opt+greed,1,588.205475,0.000133,0.000122,1
outliers,100,3,lkh-wrapper-v2,1,381.565758,0.006056,0.006043,1
outliers,100,3,lkh-wrapper-v3,1,382.784485,0.005485,0.005469,1
outliers,100,3,rand+nn,1,732.924752,4.7e-05,4e-05,1
outliers,100,5,2opt+greed,1,579.710233,0.000142,0.000128,1
outliers,100,5,lkh-wrapper-v2,1,375.202466,0.009944,0.009932,1
outliers,100,5,lkh-wrapper-v3,1,376.230753,0.006329,0.00628,1
outliers,100,5,rand+nn,1,871.757932,5.3e-05,3.1e-05,1
outliers,200,2,2opt+greed,1,832.958638,0.000859,0.000836,1
outliers,200,2,lkh-wrapper-v2,1,688.517406,0.049703,0.049678,1
outliers,200,2,lkh-wrapper-v3,1,690.340588,0.046413,0.046396,1
outliers,200,2,rand+nn,1,1134.12252,8.8e-05,7.9e-05,1
outliers,200,3,2opt+greed,1,988.124395,0.000613,0.000595,1
outliers,200,3,lkh-wrapper-v2,1,777.79355,0.031145,0.031121,1
outliers,200,3,lkh-wrapper-v3,1,786.97613,0.015177,0.015163,1
outliers,200,3,rand+nn,1,1640.377685,9.4e-05,8.5e-05,1
outliers,200,5,2opt+greed,1,960.529527,0.000386,0.000372,1
outliers,200,5,lkh-wrapper-v2,1,775.404178,0.029409,0.029375,1
outliers,200,5,lkh-wrapper-v3,1,778.639681,0.015332,0.015317,1
outliers,200,5,rand+nn,1,1816.706304,8e-05,6.9e-05,1
outliers,500,2,2opt+greed,1,2849.962334,0.004047,0.003997,1
outliers,500,2,lkh-wrapper-v2,1,2627.613926,0.631995,0.631972,1
outliers,500,2,lkh-wrapper-v3,1,2605.606782,0.835974,0.835951,1
outliers,500,2,rand+nn,1,4251.056821,0.000322,0.000307,1
outliers,500,3,2opt+greed,1,3016.514751,0.002605,0.002588,1
outliers,500,3,lkh-wrapper-v2,1,2410.190135,0.685381,0.685358,1
outliers,500,3,lkh-wrapper-v3,1,2497.445736,0.166614,0.166588,1
outliers,500,3,rand+nn,1,5050.941529,0.0003,0.000288,1
outliers,500,5,2opt+greed,1,4268.532007,0.002003,0.001984,1
outliers,500,5,lkh-wrapper-v2,1,2843.224081,0.716507,0.716483,1
outliers,500,5,lkh-wrapper-v3,1,2982.625769,0.108574,0.108553,1
outliers,500,5,rand+nn,1,7682.127763,0.000471,0.000412,1
outliers,1000,3,2opt+greed,1,9160.401418,0.016724,0.016659,1
outliers,1000,3,lkh-wrapper-v2,1,6157.225233,5.65625,5.656226,1
