instance_family,node_count,salesman_count,solver,runs,avg_objective,avg_time_seconds,avg_step_time_seconds,valid_runs
clustered-center,200,3,lkh-wrapper-v6,1,479.065906,0.038819,0.038785,1
clustered-center,200,5,lkh-wrapper-v4,1,374.135944,0.011056,0.011008,1
clustered-center,200,5,lkh-wrapper-v5,1,483.773669,0.033745,0.033714,1
clustered-center,200,5,lkh-wrapper-v6,1,567.157393,0.127325,0.127291,1
clustered-offset-depot,20,2,lkh-wrapper-v4,1,54.536331,0.000319,0.000306,1
clustered-offset-depot,20,2,lkh-wrapper-v5,1,62.121426,0.000912,0.000899,1
clustered-offset-depot,20,2,lkh-wrapper-v6,1,61.969602,0.00119,0.001176,1
clustered-offset-depot,20,3,lkh-wrapper-v4,1,47.401893,0.00041,0.000392,1
clustered-offset-depot,20,3,lkh-wrapper-v5,1,53.758242,0.001044,0.000998,1
clustered-offset-depot,20,3,lkh-wrapper-v6,1,68.548595,0.001569,0.00155,1
clustered-offset-depot,20,5,lkh-wrapper-v4,1,67.804122,0.00046,0.000448,1
clustered-offset-depot,20,5,lkh-wrapper-v5,1,100.620489,0.00105,0.001036,1
clustered-offset-depot,20,5,lkh-wrapper-v6,1,121.343164,4.500066,4.500027,1
clustered-offset-depot,50,2,lkh-wrapper-v4,1,72.858662,0.001015,0.001002,1
clustered-offset-depot,50,2,lkh-wrapper-v5,1,79.22612,0.003603,0.003589,1
clustered-offset-depot,50,2,lkh-wrapper-v6,1,83.562203,0.004273,0.004257,1
clustered-offset-depot,50,3,lkh-wrapper-v4,1,110.192674,0.001069,0.001055,1
clustered-offset-depot,50,3,lkh-wrapper-v5,1,110.049642,0.004335,0.00431,1
clustered-offset-depot,50,3,lkh-wrapper-v6,1,126.787191,4.500197,4.50016,1
clustered-offset-depot,50,5,lkh-wrapper-v4,1,124.315956,0.001264,0.001246,1
clustered-offset-depot,50,5,lkh-wrapper-v5,1,143.090189,0.005073,0.005059,1
clustered-offset-depot,50,5,lkh-wrapper-v6,1,161.222425,0.007474,0.007456,1
clustered-offset-depot,100,2,lkh-wrapper-v4,1,190.539251,0.003707,0.003681,1
clustered-offset-depot,100,2,lkh-wrapper-v5,1,241.252229,0.012562,0.012494,1
clustered-offset-depot,100,2,lkh-wrapper-v6,1,242.59256,0.009864,0.009849,1
clustered-offset-depot,100,3,lkh-wrapper-v4,1,195.60982,0.004803,0.004764,1
clustered-offset-depot,100,3,lkh-wrapper-v5,1,321.384355,0.011146,0.011131,1
clustered-offset-depot,100,3,lkh-wrapper-v6,1,323.489976,0.023232,0.023194,1
clustered-offset-depot,100,5,lkh-wrapper-v4,1,182.982454,0.006274,0.00624,1
clustered-offset-depot,100,5,lkh-wrapper-v5,1,289.7203,0.012534,0.012504,1
clustered-offset-depot,100,5,lkh-wrapper-v6,1,312.578023,0.022497,0.022458,1
clustered-offset-depot,200,2,lkh-wrapper-v4,1,314.999977,0.015153,0.015116,1
clustered-offset-depot,200,2,lkh-wrapper-v5,1,428.109415,0.040353,0.040315,1
