instance,path,node_count,salesman_count,solver,objective,time_seconds,valid,reference_solver,reference_objective,reference_time_seconds,reference_valid,objective_gap,relative_gap_percent
n100_m3_r07.txt,data\mtsp\generated\n100_m3_r07.txt,100,3,lkh-wrapper-v2,869.9362556614676,0.008395,True,ortools-gls,832.322765,5.000776,True,37.613491,4.519099
n100_m3_r08.txt,data\mtsp\generated\n100_m3_r08.txt,100,3,lkh-wrapper-v1,1107.5833339460305,0.019973,True,ortools-gls,857.475541,5.000486,True,250.107793,29.167922
n100_m3_r08.txt,data\mtsp\generated\n100_m3_r08.txt,100,3,lkh-wrapper-v2,900.2195726113423,0.012084,True,ortools-gls,857.475541,5.000486,True,42.744032,4.984869
n100_m3_r09.txt,data\mtsp\generated\n100_m3_r09.txt,100,3,lkh-wrapper-v1,1070.9917592771317,0.019525,True,ortools-gls,822.735604,5.001044,True,248.256155,30.174476
n100_m3_r09.txt,data\mtsp\generated\n100_m3_r09.txt,100,3,lkh-wrapper-v2,905.990572408602,0.007275,True,ortools-gls,822.735604,5.001044,True,83.254968,10.119286
n100_m3_r10.txt,data\mtsp\generated\n100_m3_r10.txt,100,3,lkh-wrapper-v1,904.8394705187637,0.007924,True,ortools-gls,784.00761,5.000676,True,120.831861,15.412078
n100_m3_r10.txt,data\mtsp\generated\n100_m3_r10.txt,100,3,lkh-wrapper-v2,924.0559194949336,0.005465,True,ortools-gls,784.00761,5.000676,True,140.048309,17.863131
n100_m5_r01.txt,data\mtsp\generated\n100_m5_r01.txt,100,5,lkh-wrapper-v1,1122.2372382165352,0.012865,True,ortools-gls,795.98205,5.001226,True,326.255188,40.987757
n100_m5_r01.txt,data\mtsp\generated\n100_m5_r01.txt,100,5,lkh-wrapper-v2,950.4949708081105,0.006426,True,ortools-gls,795.98205,5.001226,True,154.512921,19.411609
n100_m5_r02.txt,data\mtsp\generated\n100_m5_r02.txt,100,5,lkh-wrapper-v1,1113.6645598778748,0.012244,True,ortools-gls,839.697049,5.001059,True,273.967511,32.626947
n100_m5_r02.txt,data\mtsp\generated\n100_m5_r02.txt,100,5,lkh-wrapper-v2,1070.4939595913265,0.008126,True,ortools-gls,839.697049,5.001059,True,230.796911,27.485736
n100_m5_r03.txt,data\mtsp\generated\n100_m5_r03.txt,100,5,lkh-wrapper-v1,1097.8141314926029,0.014568,True,ortools-gls,816.160933,5.004235,True,281.653198,34.509517
n100_m5_r03.txt,data\mtsp\generated\n100_m5_r03.txt,100,5,lkh-wrapper-v2,943.25048788474,0.005802,True,ortools-gls,816.160933,5.004235,True,127.089555,15.571629
n100_m5_r04.txt,data\mtsp\generated\n100_m5_r04.txt,100,5,lkh-wrapper-v1,1253.1721752978697,0.017839,True,ortools-gls,806.112506,5.000687,True,447.059669,55.458719
n100_m5_r04.txt,data\mtsp\generated\n100_m5_r04.txt,100,5,lkh-wrapper-v2,970.2976443271149,0.009321,True,ortools-gls,806.112506,5.000687,True,164.185138,20.367522
n100_m5_r05.txt,data\mtsp\generated\n100_m5_r05.txt,100,5,lkh-wrapper-v1,1273.6509946301815,0.031146,True,ortools-gls,791.160334,4.999905,True,482.490661,60.985194
n100_m5_r05.txt,data\mtsp\generated\n100_m5_r05.txt,100,5,lkh-wrapper-v2,914.0764555303356,0.010344,True,ortools-gls,791.160334,4.999905,True,122.916122,15.536184
n100_m5_r06.txt,data\mtsp\generated\n100_m5_r06.txt,100,5,lkh-wrapper-v1,1196.4887127636825,0.007786,True,ortools-gls,811.76969,5.000651,True,384.719023,47.392632
n100_m5_r06.txt,data\mtsp\generated\n100_m5_r06.txt,100,5,lkh-wrapper-v2,1002.1108899223323,0.009464,True,ortools-gls,811.76969,5.000651,True,190.3412,23.447685
n100_m5_r07.txt,data\mtsp\generated\n100_m5_r07.txt,100,5,lkh-wrapper-v1,1245.904006468376,0.012086,True,ortools-gls,802.861462,4.999875,True,443.042544,55.182938
n100_m5_r07.txt,data\mtsp\generated\n100_m5_r07.txt,100,5,lkh-wrapper-v2,977.284106068674,0.021584,True,ortools-gls,802.861462,4.999875,True,174.422644,21.725123
n100_m5_r08.txt,data\mtsp\generated\n100_m5_r08.txt,100,5,lkh-wrapper-v1,1120.8384432426813,0.010471,True,ortools-gls,757.097381,5.00114,True,363.741062,48.044158
n100_m5_r08.txt,data\mtsp\generated\n100_m5_r08.txt,100,5,lkh-wrapper-v2,992.7237548683918,0.006869,True,ortools-gls,757.097381,5.00114,True,235.626374,31.122334
n100_m5_r09.txt,data\mtsp\generated\n100_m5_r09.txt,100,5,lkh-wrapper-v1,1313.968196459189,0.018473,True,ortools-gls,834.085259,5.000396,True,479.882937,57.534039
n100_m5_r09.txt,data\mtsp\generated\n100_m5_r09.txt,100,5,lkh-wrapper-v2,1001.7659215232939,0.006193,True,ortools-gls,834.085259,5.000396,True,167.680663,20.10354
n100_m5_r10.txt,data\mtsp\generated\n100_m5_r10.txt,100,5,lkh-wrapper-v1,1111.412703977488,0.012074,True,ortools-gls,800.290013,5.0011,True,311.122691,38.876243
n100_m5_r10.txt,data\mtsp\generated\n100_m5_r10.txt,100,5,lkh-wrapper-v2,976.7407480157473,0.011186,True,ortools-gls,800.290013,5.0011,True,176.450735,22.048349
n200_m2_r01.txt,data\mtsp\generated\n200_m2_r01.txt,200,2,lkh-wrapper-v1,1231.0616075411617,0.086506,True,ortools-gls,1089.527381,5.000052,True,141.534227,12.990424
n200_m2_r01.txt,data\mtsp\generated\n200_m2_r01.txt,200,2,lkh-wrapper-v2,1186.91694094279,0.062308,True,ortools-gls,1089.527381,5.000052,True,97.38956,8.938698
n200_m2_r02.txt,data\mtsp\generated\n200_m2_r02.txt,200,2,lkh-wrapper-v1,1237.757432201647,0.053884,True,ortools-gls,1134.75161,5.001933,True,103.005822,9.077389
n200_m2_r02.txt,data\mtsp\generated\n200_m2_r02.txt,200,2,lkh-wrapper-v2,1160.7760957455387,0.022945,True,ortools-gls,1134.75161,5.001933,True,26.024486,2.293408
n200_m2_r03.txt,data\mtsp\generated\n200_m2_r03.txt,200,2,lkh-wrapper-v1,1206.1171616064453,0.053996,True,ortools-gls,1109.650678,5.000327,True,96.466484,8.69341
n200_m2_r03.txt,data\mtsp\generated\n200_m2_r03.txt,200,2,lkh-wrapper-v2,1183.782323672765,0.012989,True,ortools-gls,1109.650678,5.000327,True,74.131646,6.680629
n200_m2_r04.txt,data\mtsp\generated\n200_m2_r04.txt,200,2,lkh-wrapper-v1,1113.582617011457,0.043967,True,ortools-gls,1129.640246,4.999999,True,-16.057629,-1.421482
n200_m2_r04.txt,data\mtsp\generated\n200_m2_r04.txt,200,2,lkh-wrapper-v2,1146.5373436708187,0.032708,True,ortools-gls,1129.640246,4.999999,True,16.897098,1.495795
n200_m2_r05.txt,data\mtsp\generated\n200_m2_r05.txt,200,2,lkh-wrapper-v1,1256.3392978031325,0.038688,True,ortools-gls,1177.771774,5.001378,True,78.567524,6.670862
n200_m2_r05.txt,data\mtsp\generated\n200_m2_r05.txt,200,2,lkh-wrapper-v2,1225.1065646252569,0.033607,True,ortools-gls,1177.771774,5.001378,True,47.334791,4.019012
n200_m2_r06.txt,data\mtsp\generated\n200_m2_r06.txt,200,2,lkh-wrapper-v1,1174.2498805146502,0.051977,True,ortools-gls,1138.35878,5.001313,True,35.891101,3.152881
n200_m2_r06.txt,data\mtsp\generated\n200_m2_r06.txt,200,2,lkh-wrapper-v2,1124.674868243107,0.041967,True,ortools-gls,1138.35878,5.001313,True,-13.683912,-1.202074
n200_m2_r07.txt,data\mtsp\generated\n200_m2_r07.txt,200,2,lkh-wrapper-v1,1276.1167642366759,0.052102,True,ortools-gls,1174.154763,5.002344,True,101.962001,8.683864
n200_m2_r07.txt,data\mtsp\generated\n200_m2_r07.txt,200,2,lkh-wrapper-v2,1218.1051390554194,0.056943,True,ortools-gls,1174.154763,5.002344,True,43.950376,3.74315
n200_m2_r08.txt,data\mtsp\generated\n200_m2_r08.txt,200,2,lkh-wrapper-v1,1198.9493304738749,0.051742,True,ortools-gls,1128.625585,5.001665,True,70.323745,6.230919
n200_m2_r08.txt,data\mtsp\generated\n200_m2_r08.txt,200,2,lkh-wrapper-v2,1196.1654170031736,0.028958,True,ortools-gls,1128.625585,5.001665,True,67.539832,5.984255
n200_m2_r09.txt,data\mtsp\generated\n200_m2_r09.txt,200,2,lkh-wrapper-v1,1268.654079905485,0.099078,True,ortools-gls,1164.675834,5.00025,True,103.978246,8.927655
n200_m2_r09.txt,data\mtsp\generated\n200_m2_r09.txt,200,2,lkh-wrapper-v2,1205.0583169817428,0.034366,True,ortools-gls,1164.675834,5.00025,True,40.382483,3.467272
n200_m2_r10.txt,data\mtsp\generated\n200_m2_r10.txt,200,2,lkh-wrapper-v1,1164.5521927676887,0.042381,True,ortools-gls,1113.781786,5.000294,True,50.770407,4.55838
n200_m2_r10.txt,data\mtsp\generated\n200_m2_r10.txt,200,2,lkh-wrapper-v2,1198.529521045315,0.029878,True,ortools-gls,1113.781786,5.000294,True,84.747735,7.609007
n200_m3_r01.txt,data\mtsp\generated\n200_m3_r01.txt,200,3,lkh-wrapper-v1,1348.5461409685345,0.050107,True,ortools-gls,1104.153108,5.000478,True,244.393033,22.13398
n200_m3_r01.txt,data\mtsp\generated\n200_m3_r01.txt,200,3,lkh-wrapper-v2,1158.4059169349564,0.045534,True,ortools-gls,1104.153108,5.000478,True,54.252809,4.913522
n200_m3_r02.txt,data\mtsp\generated\n200_m3_r02.txt,200,3,lkh-wrapper-v1,1389.5556060747576,0.064449,True,ortools-gls,1166.345448,5.000103,True,223.210158,19.137568
