instance_family,node_count,salesman_count,solver,runs,valid_runs,best_baseline_valid_runs,avg_objective,avg_time_seconds,avg_best_baseline_objective,avg_best_baseline_time_seconds,avg_objective_gap,avg_relative_gap_percent,better_than_best_baseline_runs
uniform,500,3,lkh-wrapper-v3,1,1,1,4550.936941,0.362213,4401.692443,0.276707,149.244498,3.390616,0
uniform,500,3,rand+nn,1,1,1,9301.20131,0.000276,4401.692443,0.276707,4899.508867,111.309659,0
uniform,500,5,2opt+greed,1,1,1,6591.231722,0.003085,4432.640973,0.283029,2158.590749,48.697622,0
uniform,500,5,lkh-wrapper-v2,1,1,1,5228.32885,1.079617,4432.640973,0.283029,795.687877,17.95065,0
uniform,500,5,lkh-wrapper-v3,1,1,1,4912.278434,0.205368,4432.640973,0.283029,479.637461,10.82058,0
uniform,500,5,rand+nn,1,1,1,12119.536601,0.000216,4432.640973,0.283029,7686.895628,173.415706,0
uniform,1000,3,2opt+greed,1,1,1,14820.126694,0.017838,12596.260075,1.125554,2223.866619,17.654975,0
uniform,1000,3,lkh-wrapper-v2,1,1,1,13339.959306,12.385038,12596.260075,1.125554,743.699231,5.904127,0
uniform,1000,3,lkh-wrapper-v3,1,1,1,13330.443242,5.741278,12596.260075,1.125554,734.183167,5.828581,0
uniform,1000,3,rand+nn,1,1,1,25437.119473,0.00096,12596.260075,1.125554,12840.859398,101.941841,0
uniform,1000,5,2opt+greed,1,1,1,16881.455644,0.015493,12349.028878,1.063057,4532.426766,36.702698,0
uniform,1000,5,lkh-wrapper-v2,1,1,1,13996.68999,15.736722,12349.028878,1.063057,1647.661112,13.342435,0
uniform,1000,5,lkh-wrapper-v3,1,1,1,13635.505502,2.77007,12349.028878,1.063057,1286.476624,10.417634,0
uniform,1000,5,rand+nn,1,1,1,33892.313895,0.00137,12349.028878,1.063057,21543.285017,174.453273,0
uniform,1000,7,2opt+greed,1,1,1,16930.088828,0.010431,12424.382636,1.275093,4505.706192,36.265031,0
uniform,1000,7,lkh-wrapper-v2,1,1,1,14233.511858,13.720269,12424.382636,1.275093,1809.129222,14.56112,0
uniform,1000,7,lkh-wrapper-v3,1,1,1,14468.404971,3.624874,12424.382636,1.275093,2044.022335,16.451701,0
uniform,1000,7,rand+nn,1,1,1,39427.926052,0.00083,12424.382636,1.275093,27003.543416,217.343141,0
clustered-center,20,2,2opt+greed,1,1,1,63.727055,3.9e-05,44.745373,5.000035,18.981682,42.421553,0
clustered-center,20,2,lkh-wrapper-v2,1,1,1,49.758306,0.000442,44.745373,5.000035,5.012933,11.203243,0
clustered-center,20,2,lkh-wrapper-v3,1,1,1,49.758306,0.000351,44.745373,5.000035,5.012933,11.203243,0
clustered-center,20,2,rand+nn,1,1,1,80.45529,1.9e-05,44.745373,5.000035,35.709917,79.806949,0
clustered-center,20,3,2opt+greed,1,1,1,88.54031,2.2e-05,43.877905,5.001516,44.662405,101.787916,0
clustered-center,20,3,lkh-wrapper-v2,1,1,1,53.520778,0.000351,43.877905,5.001516,9.642873,21.976603,0
clustered-center,20,3,lkh-wrapper-v3,1,1,1,53.520778,0.000296,43.877905,5.001516,9.642873,21.976603,0
clustered-center,20,3,rand+nn,1,1,1,112.439588,3.2e-05,43.877905,5.001516,68.561683,156.255598,0
clustered-center,20,5,2opt+greed,1,1,1,99.921589,2.5e-05,38.744569,5.000544,61.17702,157.898311,0
clustered-center,20,5,lkh-wrapper-v2,1,1,1,44.659719,0.000615,38.744569,5.000544,5.91515,15.267043,0
clustered-center,20,5,lkh-wrapper-v3,1,1,1,44.659719,0.000457,38.744569,5.000544,5.91515,15.267043,0
clustered-center,20,5,rand+nn,1,1,1,127.404112,2.3e-05,38.744569,5.000544,88.659543,228.830892,0
clustered-center,50,2,2opt+greed,1,1,1,175.79265,5.6e-05,122.765884,4.999964,53.026766,43.193405,0
clustered-center,50,2,lkh-wrapper-v2,1,1,1,143.474983,0.003458,122.765884,4.999964,20.709099,16.868774,0
clustered-center,50,2,lkh-wrapper-v3,1,1,1,143.795147,0.00154,122.765884,4.999964,21.029263,17.129566,0
clustered-center,50,2,rand+nn,1,1,1,215.38539,3e-05,122.765884,4.999964,92.619506,75.44401,0
clustered-center,50,3,2opt+greed,1,1,1,203.042191,6e-05,126.387072,4.999979,76.655119,60.651076,0
clustered-center,50,3,lkh-wrapper-v2,1,1,1,148.338563,0.002659,126.387072,4.999979,21.951491,17.368462,0
clustered-center,50,3,lkh-wrapper-v3,1,1,1,148.213061,0.002706,126.387072,4.999979,21.825989,17.269163,0
clustered-center,50,3,rand+nn,1,1,1,291.151934,3.8e-05,126.387072,4.999979,164.764862,130.365281,0
clustered-center,50,5,2opt+greed,1,1,1,316.198869,5.2e-05,115.376314,5.000338,200.822555,174.058737,0
clustered-center,50,5,lkh-wrapper-v2,1,1,1,147.697518,0.002839,115.376314,5.000338,32.321204,28.013726,0
clustered-center,50,5,lkh-wrapper-v3,1,1,1,148.261137,0.001566,115.376314,5.000338,32.884823,28.502231,0
clustered-center,50,5,rand+nn,1,1,1,431.681531,3.1e-05,115.376314,5.000338,316.305217,274.150912,0
clustered-center,100,2,2opt+greed,1,1,1,354.975624,0.000202,235.176596,5.000621,119.799028,50.94003,0
clustered-center,100,2,lkh-wrapper-v2,1,1,1,241.659906,0.004741,235.176596,5.000621,6.48331,2.756784,0
clustered-center,100,2,lkh-wrapper-v3,1,1,1,241.103859,0.00514,235.176596,5.000621,5.927263,2.520346,0
clustered-center,100,2,rand+nn,1,1,1,391.839938,4.5e-05,235.176596,5.000621,156.663342,66.615192,0
clustered-center,100,3,2opt+greed,1,1,1,413.114649,0.000226,248.291092,5.000799,164.823557,66.383194,0
clustered-center,100,3,lkh-wrapper-v2,1,1,1,268.337291,0.005648,248.291092,5.000799,20.046199,8.073668,0
clustered-center,100,3,lkh-wrapper-v3,1,1,1,266.967263,0.003934,248.291092,5.000799,18.676171,7.521885,0
clustered-center,100,3,rand+nn,1,1,1,603.526857,4.3e-05,248.291092,5.000799,355.235765,143.072296,0
clustered-center,100,5,2opt+greed,1,1,1,552.750168,0.000124,249.114022,5.000539,303.636146,121.886413,0
clustered-center,100,5,lkh-wrapper-v2,1,1,1,324.746453,0.010718,249.114022,5.000539,75.632431,30.360568,0
clustered-center,100,5,lkh-wrapper-v3,1,1,1,347.844827,0.006681,249.114022,5.000539,98.730805,39.632777,0
clustered-center,100,5,rand+nn,1,1,1,856.641308,4.5e-05,249.114022,5.000539,607.527286,243.875187,0
clustered-center,200,2,2opt+greed,1,1,1,368.3072,0.000658,296.181468,5.000852,72.125732,24.351872,0
clustered-center,200,2,lkh-wrapper-v2,1,1,1,303.402859,0.020078,296.181468,5.000852,7.221391,2.438164,0
clustered-center,200,2,lkh-wrapper-v3,1,1,1,299.761805,0.015127,296.181468,5.000852,3.580337,1.208832,0
clustered-center,200,2,rand+nn,1,1,1,536.233986,8.9e-05,296.181468,5.000852,240.052518,81.049135,0
clustered-center,200,3,2opt+greed,1,1,1,549.078739,0.000387,305.354597,5.000644,243.724142,79.816759,0
clustered-center,200,3,lkh-wrapper-v2,1,1,1,312.047035,0.025076,305.354597,5.000644,6.692438,2.191694,0
clustered-center,200,3,lkh-wrapper-v3,1,1,1,311.849175,0.013452,305.354597,5.000644,6.494578,2.126897,0
clustered-center,200,3,rand+nn,1,1,1,735.854341,7.8e-05,305.354597,5.000644,430.499744,140.983548,0
clustered-center,200,5,2opt+greed,1,1,1,651.492507,0.000492,335.034743,5.000539,316.457764,94.455208,0
clustered-center,200,5,lkh-wrapper-v2,1,1,1,373.939293,0.028757,335.034743,5.000539,38.90455,11.612094,0
clustered-center,200,5,lkh-wrapper-v3,1,1,1,375.489491,0.013496,335.034743,5.000539,40.454748,12.074792,0
clustered-center,200,5,rand+nn,1,1,1,1068.894049,7.8e-05,335.034743,5.000539,733.859306,219.039763,0
clustered-center,500,2,2opt+greed,1,1,1,1351.981451,0.00417,1041.766363,5.001087,310.215088,29.777798,0
clustered-center,500,2,lkh-wrapper-v2,1,1,1,1033.312334,0.248687,1041.766363,5.001087,-8.454029,-0.811509,1
clustered-center,500,2,lkh-wrapper-v3,1,1,1,1033.756885,0.118118,1041.766363,5.001087,-8.009478,-0.768836,1
