instance_family,instance,path,node_count,salesman_count,baseline_tier,best_baseline_solver,best_baseline_objective,best_baseline_time_seconds,best_baseline_valid,best_baseline_status,best_baseline_is_exact
clustered-offset-depot,clustered-offset-depot_n50_m2_r01.txt,data\mtsp\generated_multifamily\clustered-offset-depot_n50_m2_r01.txt,50,2,medium,ortools-gls,65.386054,5.000833,True,ok,False
clustered-offset-depot,clustered-offset-depot_n50_m3_r01.txt,data\mtsp\generated_multifamily\clustered-offset-depot_n50_m3_r01.txt,50,3,medium,ortools-gls,89.469417,5.000832,True,ok,False
clustered-offset-depot,clustered-offset-depot_n50_m5_r01.txt,data\mtsp\generated_multifamily\clustered-offset-depot_n50_m5_r01.txt,50,5,medium,ortools-gls,102.201281,5.000835,True,ok,False
high-m-stress,high-m-stress_n1000_m3_r01.txt,data\mtsp\generated_multifamily\high-m-stress_n1000_m3_r01.txt,1000,3,medium,tsp-transform-lkh,5432.318717,1.404259,True,ok,False
high-m-stress,high-m-stress_n1000_m5_r01.txt,data\mtsp\generated_multifamily\high-m-stress_n1000_m5_r01.txt,1000,5,medium,tsp-transform-lkh,6360.087407,1.287928,True,ok,False
high-m-stress,high-m-stress_n1000_m7_r01.txt,data\mtsp\generated_multifamily\high-m-stress_n1000_m7_r01.txt,1000,7,medium,tsp-transform-lkh,6204.469888,1.219815,True,ok,False
high-m-stress,high-m-stress_n100_m2_r01.txt,data\mtsp\generated_multifamily\high-m-stress_n100_m2_r01.txt,100,2,medium,tsp-transform-lkh,244.322844,0.049191,True,ok,False
high-m-stress,high-m-stress_n100_m3_r01.txt,data\mtsp\generated_multifamily\high-m-stress_n100_m3_r01.txt,100,3,medium,ortools-gls,245.799506,5.000441,True,ok,False
high-m-stress,high-m-stress_n100_m5_r01.txt,data\mtsp\generated_multifamily\high-m-stress_n100_m5_r01.txt,100,5,medium,ortools-gls,292.367567,5.000938,True,ok,False
high-m-stress,high-m-stress_n200_m2_r01.txt,data\mtsp\generated_multifamily\high-m-stress_n200_m2_r01.txt,200,2,medium,tsp-transform-lkh,624.649979,0.159079,True,ok,False
