instance_family,instance,path,node_count,salesman_count,solver,objective,time_seconds,valid,best_baseline_solver,best_baseline_objective,best_baseline_time_seconds,best_baseline_valid,best_baseline_status,objective_gap,relative_gap_percent
clustered-center,clustered-center_n200_m2_r01.txt,data\mtsp\generated_multifamily\clustered-center_n200_m2_r01.txt,200,2,2opt+greed,368.3071995365525,0.000658,True,ortools-gls,296.181468,5.000852,True,ok,72.125732,24.351872
clustered-center,clustered-center_n200_m2_r01.txt,data\mtsp\generated_multifamily\clustered-center_n200_m2_r01.txt,200,2,lkh-wrapper-v2,303.4028590321304,0.020078,True,ortools-gls,296.181468,5.000852,True,ok,7.221391,2.438164
clustered-center,clustered-center_n200_m2_r01.txt,data\mtsp\generated_multifamily\clustered-center_n200_m2_r01.txt,200,2,lkh-wrapper-v3,299.761805076796,0.015127,True,ortools-gls,296.181468,5.000852,True,ok,3.580337,1.208832
clustered-center,clustered-center_n200_m3_r01.txt,data\mtsp\generated_multifamily\clustered-center_n200_m3_r01.txt,200,3,rand+nn,735.854341491005,7.8e-05,True,ortools-gls,305.354597,5.000644,True,ok,430.499744,140.983548
clustered-center,clustered-center_n200_m3_r01.txt,data\mtsp\generated_multifamily\clustered-center_n200_m3_r01.txt,200,3,2opt+greed,549.0787394565048,0.000387,True,ortools-gls,305.354597,5.000644,True,ok,243.724142,79.816759
clustered-center,clustered-center_n200_m3_r01.txt,data\mtsp\generated_multifamily\clustered-center_n200_m3_r01.txt,200,3,lkh-wrapper-v2,312.047034953044,0.025076,True,ortools-gls,305.354597,5.000644,True,ok,6.692438,2.191694
clustered-center,clustered-center_n200_m3_r01.txt,data\mtsp\generated_multifamily\clustered-center_n200_m3_r01.txt,200,3,lkh-wrapper-v3,311.8491752622592,0.013452,True,ortools-gls,305.354597,5.000644,True,ok,6.494578,2.126897
clustered-center,clustered-center_n200_m5_r01.txt,data\mtsp\generated_multifamily\clustered-center_n200_m5_r01.txt,200,5,rand+nn,1068.89404903207,7.8e-05,True,ortools-gls,335.034743,5.000539,True,ok,733.859306,219.039763
clustered-center,clustered-center_n200_m5_r01.txt,data\mtsp\generated_multifamily\clustered-center_n200_m5_r01.txt,200,5,2opt+greed,651.4925068548418,0.000492,True,ortools-gls,335.034743,5.000539,True,ok,316.457764,94.455208
clustered-center,clustered-center_n200_m5_r01.txt,data\mtsp\generated_multifamily\clustered-center_n200_m5_r01.txt,200,5,lkh-wrapper-v2,373.93929305707513,0.028757,True,ortools-gls,335.034743,5.000539,True,ok,38.90455,11.612094
clustered-center,clustered-center_n200_m5_r01.txt,data\mtsp\generated_multifamily\clustered-center_n200_m5_r01.txt,200,5,lkh-wrapper-v3,375.4894912092147,0.013496,True,ortools-gls,335.034743,5.000539,True,ok,40.454748,12.074792
clustered-center,clustered-center_n20_m2_r01.txt,data\mtsp\generated_multifamily\clustered-center_n20_m2_r01.txt,20,2,rand+nn,80.45528997531606,1.9e-05,True,ortools-gls,44.745373,5.000035,True,ok,35.709917,79.806949
clustered-center,clustered-center_n20_m2_r01.txt,data\mtsp\generated_multifamily\clustered-center_n20_m2_r01.txt,20,2,2opt+greed,63.72705504617106,3.9e-05,True,ortools-gls,44.745373,5.000035,True,ok,18.981682,42.421553
clustered-center,clustered-center_n20_m2_r01.txt,data\mtsp\generated_multifamily\clustered-center_n20_m2_r01.txt,20,2,lkh-wrapper-v2,49.75830648631879,0.000442,True,ortools-gls,44.745373,5.000035,True,ok,5.012933,11.203243
clustered-center,clustered-center_n20_m2_r01.txt,data\mtsp\generated_multifamily\clustered-center_n20_m2_r01.txt,20,2,lkh-wrapper-v3,49.75830648631879,0.000351,True,ortools-gls,44.745373,5.000035,True,ok,5.012933,11.203243
clustered-center,clustered-center_n20_m3_r01.txt,data\mtsp\generated_multifamily\clustered-center_n20_m3_r01.txt,20,3,rand+nn,112.43958837194086,3.2e-05,True,ortools-gls,43.877905,5.001516,True,ok,68.561683,156.255598
clustered-center,clustered-center_n20_m3_r01.txt,data\mtsp\generated_multifamily\clustered-center_n20_m3_r01.txt,20,3,2opt+greed,88.54031032023721,2.2e-05,True,ortools-gls,43.877905,5.001516,True,ok,44.662405,101.787916
clustered-center,clustered-center_n20_m3_r01.txt,data\mtsp\generated_multifamily\clustered-center_n20_m3_r01.txt,20,3,lkh-wrapper-v2,53.52077755495592,0.000351,True,ortools-gls,43.877905,5.001516,True,ok,9.642873,21.976603
clustered-center,clustered-center_n20_m3_r01.txt,data\mtsp\generated_multifamily\clustered-center_n20_m3_r01.txt,20,3,lkh-wrapper-v3,53.52077755495592,0.000296,True,ortools-gls,43.877905,5.001516,True,ok,9.642873,21.976603
clustered-center,clustered-center_n20_m5_r01.txt,data\mtsp\generated_multifamily\clustered-center_n20_m5_r01.txt,20,5,rand+nn,127.40411234055111,2.3e-05,True,ortools-gls,38.744569,5.000544,True,ok,88.659543,228.830892
