instance,family,node_count,salesman_count,solver,runs,mean_objective,sd_objective,cv_percent,ci95_halfwidth
clustered_center_n100_m3_pilot.txt,clustered_center,100,3,grasp,20,571.777174541234,7.494033646475183,1.310656315108771,3.5073157087459887
clustered_center_n100_m3_pilot.txt,clustered_center,100,3,lkh-wrapper-v2,20,504.4672661042161,3.2937389592490023,0.6529143079361982,1.5415172839150857
clustered_center_n100_m3_pilot.txt,clustered_center,100,3,rand+nn,20,925.2182249782129,53.01439714272992,5.729934377803496,24.811501610464624
clustered_offset_depot_n100_m3_pilot.txt,clustered_offset_depot,100,3,grasp,20,708.4592315393104,11.63198814361798,1.6418712080784783,5.443938026518912
clustered_offset_depot_n100_m3_pilot.txt,clustered_offset_depot,100,3,lkh-wrapper-v2,20,513.0411369839272,3.381730854898433,0.6591539373974952,1.5826987587272177
clustered_offset_depot_n100_m3_pilot.txt,clustered_offset_depot,100,3,rand+nn,20,1159.2454033567183,53.32300978495055,4.599803426483134,24.9559367730272
mixed_outliers_n100_m3_pilot.txt,mixed_outliers,100,3,grasp,20,769.1570623378026,11.256213954807672,1.4634480401954766,5.2680702925949285
mixed_outliers_n100_m3_pilot.txt,mixed_outliers,100,3,lkh-wrapper-v2,20,756.9999056789678,2.7680212663160173,0.3656567518107318,1.2954738299126052
mixed_outliers_n100_m3_pilot.txt,mixed_outliers,100,3,rand+nn,20,1411.564782009505,65.12254980957398,4.613500608655414,30.478291493679418
uniform_n100_m3_pilot.txt,uniform,100,3,grasp,20,970.9904481922351,15.658372091926456,1.6126185505819144,7.328343720105196
uniform_n100_m3_pilot.txt,uniform,100,3,lkh-wrapper-v2,20,938.9168233855746,2.2089815013303733,0.23526913634001798,1.0338351661377176
uniform_n100_m3_pilot.txt,uniform,100,3,rand+nn,20,1773.2286691032702,59.35608101505149,3.347344989919891,27.779501023671983
uniform_n200_m5_pilot.txt,uniform,200,5,grasp,20,1377.7735481795032,26.981581589033762,1.9583466110730168,12.627768891662269
uniform_n200_m5_pilot.txt,uniform,200,5,lkh-wrapper-v2,20,1275.282083666287,8.41840800702812,0.6601212480635014,3.939936226409964
uniform_n200_m5_pilot.txt,uniform,200,5,rand+nn,20,3077.545270320686,77.17297922079133,2.5076147527392756,36.11806606167545
