instance_family,node_count,salesman_count,solver,runs,avg_objective,avg_time_seconds,avg_step_time_seconds,valid_runs
uniform,100,3,2opt+greed,3,1172.954874,5.8e-05,4.9e-05,3
uniform,100,3,lkh-wrapper-v21,3,809.123482,1.017774,1.01772,3
uniform,100,3,lkh3-baseline,3,827.777637,0.264252,0.264225,3
uniform,100,3,lkh3-baseline-minmax,3,874.731657,10.312234,10.3122,3
uniform,100,3,lkh_v21_minmax,3,997.36451,4.452678,4.452537,3
uniform,100,3,lkh_v21_minsum,3,810.660885,4.431379,4.431287,3
uniform,100,3,lkh_v21_minsum_cap,3,826.930198,4.422241,4.422061,3
uniform,100,3,lkh_v21_minsum_depot2m_plus,3,829.80186,38.441677,38.441547,3
uniform,100,5,2opt+greed,3,1288.126888,0.000109,9.2e-05,3
uniform,100,5,lkh-wrapper-v21,3,785.127321,0.853246,0.853192,3
uniform,100,5,lkh3-baseline,3,832.983691,0.312252,0.312215,3
uniform,100,5,lkh3-baseline-minmax,3,966.400626,11.8315,11.83146,3
uniform,100,5,lkh_v21_minmax,3,883.713963,4.430195,4.430071,3
uniform,100,5,lkh_v21_minsum,3,784.018047,4.428292,4.42821,3
uniform,100,5,lkh_v21_minsum_cap,3,805.473373,4.431082,4.430956,3
uniform,100,5,lkh_v21_minsum_depot2m_plus,3,836.702941,38.502191,38.50197,3
uniform,100,7,2opt+greed,3,1552.940099,6.7e-05,5.5e-05,3
uniform,100,7,lkh-wrapper-v21,3,765.668037,0.995454,0.995408,3
uniform,100,7,lkh3-baseline,3,829.733071,0.319865,0.319845,3
uniform,100,7,lkh3-baseline-minmax,3,990.177218,10.416805,10.416786,3
uniform,100,7,lkh_v21_minmax,3,1006.571506,4.42364,4.423507,3
uniform,100,7,lkh_v21_minsum,3,768.453227,4.437322,4.437232,3
uniform,100,7,lkh_v21_minsum_cap,3,789.412338,4.423696,4.423582,3
uniform,100,7,lkh_v21_minsum_depot2m_plus,3,830.280928,38.493662,38.493452,3
uniform,200,3,2opt+greed,3,1522.353497,0.000404,0.000388,3
uniform,200,3,lkh-wrapper-v21,3,1094.688612,1.322,1.321947,3
uniform,200,3,lkh3-baseline,3,1081.874451,0.430512,0.430492,3
uniform,200,3,lkh3-baseline-minmax,3,1132.188186,10.769373,10.769331,3
uniform,200,3,lkh_v21_minmax,3,1138.783585,4.429742,4.429663,3
uniform,200,3,lkh_v21_minsum,3,1078.486625,4.460038,4.458772,3
uniform,200,3,lkh_v21_minsum_cap,3,1122.391344,4.418905,4.418773,3
uniform,200,3,lkh_v21_minsum_depot2m_plus,3,1083.022151,38.465259,38.465107,3
uniform,200,5,2opt+greed,3,1801.511501,0.000186,0.000175,3
uniform,200,5,lkh-wrapper-v21,3,1112.64359,1.28607,1.28602,3
uniform,200,5,lkh3-baseline,3,1124.546001,0.452271,0.452249,3
uniform,200,5,lkh3-baseline-minmax,3,1225.550206,11.803752,11.80372,3
uniform,200,5,lkh_v21_minmax,3,1254.408506,4.451027,4.450937,3
uniform,200,5,lkh_v21_minsum,3,1106.53767,4.469328,4.469232,3
uniform,200,5,lkh_v21_minsum_cap,3,1141.1014,4.423664,4.423567,3
uniform,200,5,lkh_v21_minsum_depot2m_plus,3,1129.088024,38.461694,38.461545,3
uniform,200,7,2opt+greed,3,1937.834511,0.000147,0.000136,3
uniform,200,7,lkh-wrapper-v21,3,1104.410666,1.253176,1.253126,3
