instance,path,node_count,salesman_count,solver,objective,time_seconds,valid,reference_solver,reference_objective,reference_time_seconds,reference_valid,objective_gap,relative_gap_percent
n100_m2_r09.txt,data\mtsp\generated\n100_m2_r09.txt,100,2,lkh-wrapper,876.1530636604247,0.007296,True,ortools-gls,798.156477,5.000594,True,77.996587,9.772092
n100_m2_r10.txt,data\mtsp\generated\n100_m2_r10.txt,100,2,rand+nn,1310.5678217601608,0.000454,True,ortools-gls,804.87552,5.000594,True,505.692302,62.828635
n100_m2_r10.txt,data\mtsp\generated\n100_m2_r10.txt,100,2,2opt+greed,979.5878072373852,0.000534,True,ortools-gls,804.87552,5.000594,True,174.712287,21.706746
n100_m2_r10.txt,data\mtsp\generated\n100_m2_r10.txt,100,2,grasp,881.4705474577106,0.292181,True,ortools-gls,804.87552,5.000594,True,76.595027,9.516382
n100_m2_r10.txt,data\mtsp\generated\n100_m2_r10.txt,100,2,lkh-wrapper,839.3004578971792,0.01158,True,ortools-gls,804.87552,5.000594,True,34.424938,4.277051
n100_m3_r01.txt,data\mtsp\generated\n100_m3_r01.txt,100,3,rand+nn,1685.258281160779,0.000424,True,ortools-gls,816.857599,5.00134,True,868.400682,106.309923
n100_m3_r01.txt,data\mtsp\generated\n100_m3_r01.txt,100,3,2opt+greed,1130.9069737956602,0.000546,True,ortools-gls,816.857599,5.00134,True,314.049375,38.446037
n100_m3_r01.txt,data\mtsp\generated\n100_m3_r01.txt,100,3,grasp,923.9466108355887,0.450782,True,ortools-gls,816.857599,5.00134,True,107.089012,13.109875
n100_m3_r01.txt,data\mtsp\generated\n100_m3_r01.txt,100,3,lkh-wrapper,1029.564753009231,0.015967,True,ortools-gls,816.857599,5.00134,True,212.707154,26.039686
n100_m3_r02.txt,data\mtsp\generated\n100_m3_r02.txt,100,3,rand+nn,1828.4521729022717,0.000408,True,ortools-gls,844.760762,5.00042,True,983.691411,116.446153
n100_m3_r02.txt,data\mtsp\generated\n100_m3_r02.txt,100,3,2opt+greed,1194.840515190461,0.000579,True,ortools-gls,844.760762,5.00042,True,350.079753,41.44129
n100_m3_r02.txt,data\mtsp\generated\n100_m3_r02.txt,100,3,grasp,994.8066374180703,0.514346,True,ortools-gls,844.760762,5.00042,True,150.045875,17.761937
n100_m3_r02.txt,data\mtsp\generated\n100_m3_r02.txt,100,3,lkh-wrapper,947.1037214041395,0.014633,True,ortools-gls,844.760762,5.00042,True,102.342959,12.115023
n100_m3_r03.txt,data\mtsp\generated\n100_m3_r03.txt,100,3,rand+nn,1778.6446628456156,0.000457,True,ortools-gls,892.309825,5.00059,True,886.334838,99.330391
n100_m3_r03.txt,data\mtsp\generated\n100_m3_r03.txt,100,3,2opt+greed,1193.1171322985222,0.000944,True,ortools-gls,892.309825,5.00059,True,300.807307,33.711083
n100_m3_r03.txt,data\mtsp\generated\n100_m3_r03.txt,100,3,grasp,1028.548875053543,0.501785,True,ortools-gls,892.309825,5.00059,True,136.23905,15.268133
n100_m3_r03.txt,data\mtsp\generated\n100_m3_r03.txt,100,3,lkh-wrapper,1080.8821286073328,0.016782,True,ortools-gls,892.309825,5.00059,True,188.572304,21.133053
n100_m3_r04.txt,data\mtsp\generated\n100_m3_r04.txt,100,3,rand+nn,1595.6434592374517,0.000445,True,ortools-gls,774.205281,5.000654,True,821.438178,106.100823
n100_m3_r04.txt,data\mtsp\generated\n100_m3_r04.txt,100,3,2opt+greed,1204.2726079588883,0.000579,True,ortools-gls,774.205281,5.000654,True,430.067327,55.549521
n100_m3_r04.txt,data\mtsp\generated\n100_m3_r04.txt,100,3,grasp,881.9487314387336,0.618588,True,ortools-gls,774.205281,5.000654,True,107.74345,13.916651
n100_m3_r04.txt,data\mtsp\generated\n100_m3_r04.txt,100,3,lkh-wrapper,1060.5551145393038,0.018116,True,ortools-gls,774.205281,5.000654,True,286.349834,36.986293
n100_m3_r05.txt,data\mtsp\generated\n100_m3_r05.txt,100,3,rand+nn,1662.634154162223,0.000442,True,ortools-gls,836.115648,5.000988,True,826.518506,98.852175
n100_m3_r05.txt,data\mtsp\generated\n100_m3_r05.txt,100,3,2opt+greed,1001.3955824440736,0.000731,True,ortools-gls,836.115648,5.000988,True,165.279934,19.767592
n100_m3_r05.txt,data\mtsp\generated\n100_m3_r05.txt,100,3,grasp,958.8799590387641,0.498833,True,ortools-gls,836.115648,5.000988,True,122.764311,14.682695
n100_m3_r05.txt,data\mtsp\generated\n100_m3_r05.txt,100,3,lkh-wrapper,917.2991788032372,0.011958,True,ortools-gls,836.115648,5.000988,True,81.183531,9.709606
n100_m3_r06.txt,data\mtsp\generated\n100_m3_r06.txt,100,3,rand+nn,1603.7548350670445,0.000463,True,ortools-gls,815.568452,5.000967,True,788.186383,96.642579
n100_m3_r06.txt,data\mtsp\generated\n100_m3_r06.txt,100,3,2opt+greed,980.6420004491079,0.000552,True,ortools-gls,815.568452,5.000967,True,165.073548,20.240306
n100_m3_r06.txt,data\mtsp\generated\n100_m3_r06.txt,100,3,grasp,964.9023598893893,0.447668,True,ortools-gls,815.568452,5.000967,True,149.333908,18.310408
n100_m3_r06.txt,data\mtsp\generated\n100_m3_r06.txt,100,3,lkh-wrapper,871.256209224186,0.009471,True,ortools-gls,815.568452,5.000967,True,55.687757,6.828091
n100_m3_r07.txt,data\mtsp\generated\n100_m3_r07.txt,100,3,rand+nn,1783.24086097006,0.000743,True,ortools-gls,832.322765,5.000776,True,950.918096,114.248719
n100_m3_r07.txt,data\mtsp\generated\n100_m3_r07.txt,100,3,2opt+greed,1272.4614850976013,0.000627,True,ortools-gls,832.322765,5.000776,True,440.13872,52.880774
n100_m3_r07.txt,data\mtsp\generated\n100_m3_r07.txt,100,3,grasp,1008.2276094729689,0.469699,True,ortools-gls,832.322765,5.000776,True,175.904844,21.13421
n100_m3_r07.txt,data\mtsp\generated\n100_m3_r07.txt,100,3,lkh-wrapper,1108.3684239130073,0.016266,True,ortools-gls,832.322765,5.000776,True,276.045659,33.165699
n100_m3_r08.txt,data\mtsp\generated\n100_m3_r08.txt,100,3,rand+nn,1710.2879568511416,0.000443,True,ortools-gls,857.475541,5.000486,True,852.812416,99.45618
n100_m3_r08.txt,data\mtsp\generated\n100_m3_r08.txt,100,3,2opt+greed,1211.8567885270074,0.000933,True,ortools-gls,857.475541,5.000486,True,354.381248,41.328438
n100_m3_r08.txt,data\mtsp\generated\n100_m3_r08.txt,100,3,grasp,921.8702302341496,0.469239,True,ortools-gls,857.475541,5.000486,True,64.394689,7.509799
n100_m3_r08.txt,data\mtsp\generated\n100_m3_r08.txt,100,3,lkh-wrapper,1107.5833339460305,0.023823,True,ortools-gls,857.475541,5.000486,True,250.107793,29.167922
n100_m3_r09.txt,data\mtsp\generated\n100_m3_r09.txt,100,3,rand+nn,1773.4158733078489,0.000684,True,ortools-gls,822.735604,5.001044,True,950.680269,115.551128
