"budget_ms","budget_label","node_count","instance_family","instance","solver","valid","objective","gap_pct","time_seconds","source"
"5000","5s","100000","mixed","mixed_n100000_m5_r01.txt","lkh-wrapper-v4","True","364230527.803506","373.143","80.775179","existing-summary"
"5000","5s","100000","mixed","mixed_n100000_m5_r01.txt","lkh-wrapper-v6","False",,,"6.303621","existing-summary"
"5000","5s","100000","mixed","mixed_n100000_m5_r01.txt","lkh-wrapper-v7","True","76981147.5683251","0","4.591572","fresh-run"
"5000","5s","100000","uniform","uniform_n100000_m5_r01.txt","lkh-wrapper-v4","True","1091147106.33256","509.367","60.129065","existing-summary"
"5000","5s","100000","uniform","uniform_n100000_m5_r01.txt","lkh-wrapper-v6","False",,,"7.109135","existing-summary"
"5000","5s","100000","uniform","uniform_n100000_m5_r01.txt","lkh-wrapper-v7","True","179062485.718547","0","4.64601","fresh-run"
"30000","30s","25000","mixed","mixed_n25000_m5_r01.txt","lkh-wrapper-v4","True","21147360.960306","457.376","42.847657","existing-summary"
"30000","30s","25000","mixed","mixed_n25000_m5_r01.txt","lkh-wrapper-v6","False",,,"29.011351","existing-summary"
"30000","30s","25000","mixed","mixed_n25000_m5_r01.txt","lkh-wrapper-v7","True","3794090.61366291","0","25.781339","fresh-run"
"30000","30s","25000","uniform","uniform_n25000_m5_r01.txt","lkh-wrapper-v4","True","66105626.000394","574.593","34.335745","existing-summary"
"30000","30s","25000","uniform","uniform_n25000_m5_r01.txt","lkh-wrapper-v6","False",,,"28.746517","existing-summary"
"30000","30s","25000","uniform","uniform_n25000_m5_r01.txt","lkh-wrapper-v7","True","9799335.14546302","0","23.193257","fresh-run"
"30000","30s","50000","mixed","mixed_n50000_m5_r01.txt","lkh-wrapper-v4","True","79923440.235053","387.824","41.752063","existing-summary"
"30000","30s","50000","mixed","mixed_n50000_m5_r01.txt","lkh-wrapper-v6","False",,,"28.461783","existing-summary"
"30000","30s","50000","mixed","mixed_n50000_m5_r01.txt","lkh-wrapper-v7","True","16383665.5154971","0","27.810766","fresh-run"
"30000","30s","50000","uniform","uniform_n50000_m5_r01.txt","lkh-wrapper-v4","True","271483846.831096","531.01","46.128099","existing-summary"
"30000","30s","50000","uniform","uniform_n50000_m5_r01.txt","lkh-wrapper-v6","False",,,"28.360812","existing-summary"
"30000","30s","50000","uniform","uniform_n50000_m5_r01.txt","lkh-wrapper-v7","True","43023668.6033888","0","27.834475","fresh-run"
"30000","30s","100000","mixed","mixed_n100000_m5_r01.txt","lkh-wrapper-v4","True","364230527.803506","383.069","58.239025","existing-summary"
"30000","30s","100000","mixed","mixed_n100000_m5_r01.txt","lkh-wrapper-v6","False",,,"28.220915","existing-summary"
"30000","30s","100000","mixed","mixed_n100000_m5_r01.txt","lkh-wrapper-v7","True","75399277.6384918","0","28.288918","fresh-run"
"30000","30s","100000","uniform","uniform_n100000_m5_r01.txt","lkh-wrapper-v4","True","1091147106.33256","512.516","46.407555","existing-summary"
"30000","30s","100000","uniform","uniform_n100000_m5_r01.txt","lkh-wrapper-v6","False",,,"28.454427","existing-summary"
"30000","30s","100000","uniform","uniform_n100000_m5_r01.txt","lkh-wrapper-v7","True","178141903.018048","0","28.063872","fresh-run"
