"phase","instance_family","instance","path","node_count","salesman_count","solver","solver_budget_ms","wall_timeout_sec","start_time_utc","end_time_utc","wall_seconds","valid","status","objective","time_seconds","step_time_seconds","message","killed","exit_code","artifacts_dir"
"main","outliers","outliers_n10000_m5_r01.txt","C:\Users\ddkup\coursework\mtsp-routing-optimization\data\mtsp\generated_multifamily\outliers_n10000_m5_r01.txt","10000","5","lkh-wrapper-v7","150000","300","2026-04-24T09:53:28.0333051Z","2026-04-24T09:53:48.3773981Z","20.344316","False","runner_error",,"20.344316",,"mtsp.exe exited with code .","False",,""
"main","uniform","uniform_n10000_m5_r01.txt","C:\Users\ddkup\coursework\mtsp-routing-optimization\data\mtsp\generated_multifamily\uniform_n10000_m5_r01.txt","10000","5","lkh3-baseline","150000","300","2026-04-24T09:53:48.9076123Z","2026-04-24T09:58:50.5298833Z","301.623153","False","wall_timeout",,"301.623153",,"Killed after exceeding the external wall-clock timeout.","True",,""
"main","uniform","uniform_n10000_m5_r01.txt","C:\Users\ddkup\coursework\mtsp-routing-optimization\data\mtsp\generated_multifamily\uniform_n10000_m5_r01.txt","10000","5","lkh-wrapper-v4","150000","300","2026-04-24T09:58:51.0003123Z","2026-04-24T10:01:42.7558859Z","171.755559","False","runner_error",,"171.755559",,"mtsp.exe exited with code .","False",,""
"main","uniform","uniform_n10000_m5_r01.txt","C:\Users\ddkup\coursework\mtsp-routing-optimization\data\mtsp\generated_multifamily\uniform_n10000_m5_r01.txt","10000","5","lkh-wrapper-v7","150000","300","2026-04-24T10:01:43.0319371Z","2026-04-24T10:02:00.0832309Z","17.051747","False","runner_error",,"17.051747",,"mtsp.exe exited with code .","False",,""
"main","clustered-center","clustered-center_n25000_m5_r01.txt","C:\Users\ddkup\coursework\mtsp-routing-optimization\data\mtsp\generated_multifamily\clustered-center_n25000_m5_r01.txt","25000","5","lkh3-baseline","150000","300","2026-04-24T00:45:57.5573804Z","2026-04-24T00:50:58.5862186Z","301.029282","False","wall_timeout","","301.029282","","Killed after exceeding the external wall-clock timeout.","True","",""
"main","clustered-center","clustered-center_n25000_m7_r01.txt","C:\Users\ddkup\coursework\mtsp-routing-optimization\data\mtsp\generated_multifamily\clustered-center_n25000_m7_r01.txt","25000","7","lkh3-baseline","150000","300","2026-04-24T01:37:53.1154751Z","2026-04-24T01:42:53.8821492Z","300.766558","False","wall_timeout","","300.766558","","Killed after exceeding the external wall-clock timeout.","True","",""
"main","clustered-center","clustered-center_n25000_m5_r01.txt","C:\Users\ddkup\coursework\mtsp-routing-optimization\data\mtsp\generated_multifamily\clustered-center_n25000_m5_r01.txt","25000","5","lkh-wrapper-v4","150000","300","2026-04-24T10:02:00.3537202Z","2026-04-24T10:05:12.8577551Z","192.503756","False","runner_error",,"192.503756",,"mtsp.exe exited with code .","False",,""
"main","clustered-center","clustered-center_n25000_m7_r01.txt","C:\Users\ddkup\coursework\mtsp-routing-optimization\data\mtsp\generated_multifamily\clustered-center_n25000_m7_r01.txt","25000","7","lkh-wrapper-v4","150000","300","2026-04-24T10:05:13.1178024Z","2026-04-24T10:08:22.1005676Z","188.982581","False","runner_error",,"188.982581",,"mtsp.exe exited with code .","False",,""
"main","clustered-center","clustered-center_n25000_m7_r01.txt","C:\Users\ddkup\coursework\mtsp-routing-optimization\data\mtsp\generated_multifamily\clustered-center_n25000_m7_r01.txt","25000","7","lkh-wrapper-v7","150000","300","2026-04-24T10:08:22.3911272Z","2026-04-24T10:09:17.1700699Z","54.777931","False","runner_error",,"54.777931",,"mtsp.exe exited with code .","False",,""
"main","clustered-center","clustered-center_n25000_m5_r01.txt","C:\Users\ddkup\coursework\mtsp-routing-optimization\data\mtsp\generated_multifamily\clustered-center_n25000_m5_r01.txt","25000","5","lkh-wrapper-v7","150000","300","2026-04-24T10:09:17.4049609Z","2026-04-24T10:10:24.8439246Z","67.439463","False","runner_error",,"67.439463",,"mtsp.exe exited with code .","False",,""
"main","clustered-offset-depot","clustered-offset-depot_n25000_m7_r01.txt","C:\Users\ddkup\coursework\mtsp-routing-optimization\data\mtsp\generated_multifamily\clustered-offset-depot_n25000_m7_r01.txt","25000","7","lkh3-baseline","150000","300","2026-04-24T01:46:57.6140020Z","2026-04-24T01:51:58.6255315Z","301.010575","False","wall_timeout","","301.010575","","Killed after exceeding the external wall-clock timeout.","True","",""
"main","clustered-offset-depot","clustered-offset-depot_n25000_m5_r01.txt","C:\Users\ddkup\coursework\mtsp-routing-optimization\data\mtsp\generated_multifamily\clustered-offset-depot_n25000_m5_r01.txt","25000","5","lkh3-baseline","150000","300","2026-04-24T00:54:43.3885857Z","2026-04-24T00:59:44.2306271Z","300.842726","False","wall_timeout","","300.842726","","Killed after exceeding the external wall-clock timeout.","True","",""
"main","clustered-offset-depot","clustered-offset-depot_n25000_m7_r01.txt","C:\Users\ddkup\coursework\mtsp-routing-optimization\data\mtsp\generated_multifamily\clustered-offset-depot_n25000_m7_r01.txt","25000","7","lkh-wrapper-v4","150000","300","2026-04-24T10:10:25.0936945Z","2026-04-24T10:13:22.5402922Z","177.446066","False","runner_error",,"177.446066",,"mtsp.exe exited with code .","False",,""
"main","clustered-offset-depot","clustered-offset-depot_n25000_m5_r01.txt","C:\Users\ddkup\coursework\mtsp-routing-optimization\data\mtsp\generated_multifamily\clustered-offset-depot_n25000_m5_r01.txt","25000","5","lkh-wrapper-v4","150000","300","2026-04-24T10:13:22.7741264Z","2026-04-24T10:16:31.2936245Z","188.519235","False","runner_error",,"188.519235",,"mtsp.exe exited with code .","False",,""
"main","clustered-offset-depot","clustered-offset-depot_n25000_m5_r01.txt","C:\Users\ddkup\coursework\mtsp-routing-optimization\data\mtsp\generated_multifamily\clustered-offset-depot_n25000_m5_r01.txt","25000","5","lkh-wrapper-v7","150000","300","2026-04-24T10:16:31.5748788Z","2026-04-24T10:17:50.9306914Z","79.356233","False","runner_error",,"79.356233",,"mtsp.exe exited with code .","False",,""
"main","clustered-offset-depot","clustered-offset-depot_n25000_m7_r01.txt","C:\Users\ddkup\coursework\mtsp-routing-optimization\data\mtsp\generated_multifamily\clustered-offset-depot_n25000_m7_r01.txt","25000","7","lkh-wrapper-v7","150000","300","2026-04-24T10:17:51.2153452Z","2026-04-24T10:19:54.6593808Z","123.447324","False","runner_error",,"123.447324",,"mtsp.exe exited with code .","False",,""
"main","high-m-stress","high-m-stress_n25000_m7_r01.txt","C:\Users\ddkup\coursework\mtsp-routing-optimization\data\mtsp\generated_multifamily\high-m-stress_n25000_m7_r01.txt","25000","7","lkh3-baseline","150000","300","2026-04-24T01:29:18.9975365Z","2026-04-24T01:34:19.7553600Z","300.757938","False","wall_timeout","","300.757938","","Killed after exceeding the external wall-clock timeout.","True","",""
"main","high-m-stress","high-m-stress_n25000_m5_r01.txt","C:\Users\ddkup\coursework\mtsp-routing-optimization\data\mtsp\generated_multifamily\high-m-stress_n25000_m5_r01.txt","25000","5","lkh3-baseline","150000","300","2026-04-24T00:37:31.0308803Z","2026-04-24T00:42:31.9682371Z","300.936961","False","wall_timeout","","300.936961","","Killed after exceeding the external wall-clock timeout.","True","",""
