instance_family,instance,path,node_count,salesman_count,solver,objective,time_seconds,valid,reference_solver,reference_objective,reference_time_seconds,reference_valid,objective_gap,relative_gap_percent
uniform,n100_m2_r05.txt,data\mtsp\generated\n100_m2_r05.txt,100,2,lkh-wrapper-v1,862.2690799716593,0.006541,True,ortools-gls,785.248236,5.004294,True,77.020844,9.808471
uniform,n100_m2_r05.txt,data\mtsp\generated\n100_m2_r05.txt,100,2,lkh-wrapper-v2,873.5664259371681,0.007177,True,ortools-gls,785.248236,5.004294,True,88.31819,11.247168
uniform,n100_m2_r05.txt,data\mtsp\generated\n100_m2_r05.txt,100,2,lkh-wrapper-v3,875.6162357227361,0.007054,True,ortools-gls,785.248236,5.004294,True,90.368,11.508208
uniform,n100_m2_r06.txt,data\mtsp\generated\n100_m2_r06.txt,100,2,rand+nn,1319.1432353583946,0.000474,True,ortools-gls,768.865595,5.000715,True,550.27764,71.570069
uniform,n100_m2_r06.txt,data\mtsp\generated\n100_m2_r06.txt,100,2,2opt+greed,825.7249956574458,0.000599,True,ortools-gls,768.865595,5.000715,True,56.859401,7.395233
uniform,n100_m2_r06.txt,data\mtsp\generated\n100_m2_r06.txt,100,2,grasp,826.1864204546023,0.295306,True,ortools-gls,768.865595,5.000715,True,57.320825,7.455246
uniform,n100_m2_r06.txt,data\mtsp\generated\n100_m2_r06.txt,100,2,lkh-wrapper,792.6607949647403,0.003687,True,ortools-gls,768.865595,5.000715,True,23.7952,3.094845
uniform,n100_m2_r06.txt,data\mtsp\generated\n100_m2_r06.txt,100,2,lkh-wrapper-v1,792.6607949647403,0.00432,True,ortools-gls,768.865595,5.000715,True,23.7952,3.094845
uniform,n100_m2_r06.txt,data\mtsp\generated\n100_m2_r06.txt,100,2,lkh-wrapper-v2,769.804100709802,0.008796,True,ortools-gls,768.865595,5.000715,True,0.938506,0.122064
uniform,n100_m2_r06.txt,data\mtsp\generated\n100_m2_r06.txt,100,2,lkh-wrapper-v3,797.737410957116,0.007992,True,ortools-gls,768.865595,5.000715,True,28.871816,3.755119
uniform,n100_m2_r07.txt,data\mtsp\generated\n100_m2_r07.txt,100,2,rand+nn,1292.7580420041609,0.000495,True,ortools-gls,749.123052,5.000117,True,543.63499,72.569518
uniform,n100_m2_r07.txt,data\mtsp\generated\n100_m2_r07.txt,100,2,2opt+greed,1079.2942546421425,0.000565,True,ortools-gls,749.123052,5.000117,True,330.171203,44.074362
uniform,n100_m2_r07.txt,data\mtsp\generated\n100_m2_r07.txt,100,2,grasp,767.8393179843606,0.305248,True,ortools-gls,749.123052,5.000117,True,18.716266,2.498423
uniform,n100_m2_r07.txt,data\mtsp\generated\n100_m2_r07.txt,100,2,lkh-wrapper,948.71687250079,0.0311,True,ortools-gls,749.123052,5.000117,True,199.593821,26.643663
uniform,n100_m2_r07.txt,data\mtsp\generated\n100_m2_r07.txt,100,2,lkh-wrapper-v1,948.71687250079,0.031766,True,ortools-gls,749.123052,5.000117,True,199.593821,26.643663
uniform,n100_m2_r07.txt,data\mtsp\generated\n100_m2_r07.txt,100,2,lkh-wrapper-v2,793.3204281408724,0.004814,True,ortools-gls,749.123052,5.000117,True,44.197376,5.899882
uniform,n100_m2_r07.txt,data\mtsp\generated\n100_m2_r07.txt,100,2,lkh-wrapper-v3,784.3083128959353,0.006047,True,ortools-gls,749.123052,5.000117,True,35.185261,4.69686
uniform,n100_m2_r08.txt,data\mtsp\generated\n100_m2_r08.txt,100,2,rand+nn,1448.273205818628,0.000557,True,ortools-gls,803.101942,5.000522,True,645.171264,80.334915
uniform,n100_m2_r08.txt,data\mtsp\generated\n100_m2_r08.txt,100,2,2opt+greed,966.3582487601541,0.00072,True,ortools-gls,803.101942,5.000522,True,163.256307,20.328217
uniform,n100_m2_r08.txt,data\mtsp\generated\n100_m2_r08.txt,100,2,grasp,855.3538126606497,0.289365,True,ortools-gls,803.101942,5.000522,True,52.251871,6.506256
uniform,n100_m2_r08.txt,data\mtsp\generated\n100_m2_r08.txt,100,2,lkh-wrapper,862.3903381289863,0.01298,True,ortools-gls,803.101942,5.000522,True,59.288396,7.382425
uniform,n100_m2_r08.txt,data\mtsp\generated\n100_m2_r08.txt,100,2,lkh-wrapper-v1,862.3903381289863,0.013672,True,ortools-gls,803.101942,5.000522,True,59.288396,7.382425
uniform,n100_m2_r08.txt,data\mtsp\generated\n100_m2_r08.txt,100,2,lkh-wrapper-v2,824.4996230943896,0.008201,True,ortools-gls,803.101942,5.000522,True,21.397681,2.664379
uniform,n100_m2_r08.txt,data\mtsp\generated\n100_m2_r08.txt,100,2,lkh-wrapper-v3,826.8190594664243,0.007131,True,ortools-gls,803.101942,5.000522,True,23.717117,2.953189
uniform,n100_m2_r09.txt,data\mtsp\generated\n100_m2_r09.txt,100,2,rand+nn,1286.674495338066,0.000497,True,ortools-gls,798.156477,5.000594,True,488.518018,61.205795
uniform,n100_m2_r09.txt,data\mtsp\generated\n100_m2_r09.txt,100,2,2opt+greed,912.1733886602785,0.00058,True,ortools-gls,798.156477,5.000594,True,114.016912,14.285032
uniform,n100_m2_r09.txt,data\mtsp\generated\n100_m2_r09.txt,100,2,grasp,868.7825277349334,0.279917,True,ortools-gls,798.156477,5.000594,True,70.626051,8.848647
uniform,n100_m2_r09.txt,data\mtsp\generated\n100_m2_r09.txt,100,2,lkh-wrapper,876.1530636604247,0.008447,True,ortools-gls,798.156477,5.000594,True,77.996587,9.772092
uniform,n100_m2_r09.txt,data\mtsp\generated\n100_m2_r09.txt,100,2,lkh-wrapper-v1,876.1530636604247,0.007337,True,ortools-gls,798.156477,5.000594,True,77.996587,9.772092
uniform,n100_m2_r09.txt,data\mtsp\generated\n100_m2_r09.txt,100,2,lkh-wrapper-v2,863.4695891812432,0.007241,True,ortools-gls,798.156477,5.000594,True,65.313112,8.182996
uniform,n100_m2_r09.txt,data\mtsp\generated\n100_m2_r09.txt,100,2,lkh-wrapper-v3,892.4638152525742,0.005394,True,ortools-gls,798.156477,5.000594,True,94.307338,11.815645
uniform,n100_m2_r10.txt,data\mtsp\generated\n100_m2_r10.txt,100,2,rand+nn,1310.5678217601608,0.000569,True,ortools-gls,804.87552,5.000594,True,505.692302,62.828635
uniform,n100_m2_r10.txt,data\mtsp\generated\n100_m2_r10.txt,100,2,2opt+greed,979.5878072373852,0.001063,True,ortools-gls,804.87552,5.000594,True,174.712287,21.706746
uniform,n100_m2_r10.txt,data\mtsp\generated\n100_m2_r10.txt,100,2,grasp,881.4705474577106,0.296765,True,ortools-gls,804.87552,5.000594,True,76.595027,9.516382
uniform,n100_m2_r10.txt,data\mtsp\generated\n100_m2_r10.txt,100,2,lkh-wrapper,839.3004578971792,0.012864,True,ortools-gls,804.87552,5.000594,True,34.424938,4.277051
uniform,n100_m2_r10.txt,data\mtsp\generated\n100_m2_r10.txt,100,2,lkh-wrapper-v1,839.3004578971792,0.012407,True,ortools-gls,804.87552,5.000594,True,34.424938,4.277051
uniform,n100_m2_r10.txt,data\mtsp\generated\n100_m2_r10.txt,100,2,lkh-wrapper-v2,844.5219872329712,0.006383,True,ortools-gls,804.87552,5.000594,True,39.646467,4.925789
uniform,n100_m2_r10.txt,data\mtsp\generated\n100_m2_r10.txt,100,2,lkh-wrapper-v3,841.1012210132257,0.004113,True,ortools-gls,804.87552,5.000594,True,36.225701,4.500783
uniform,n100_m3_r01.txt,data\mtsp\generated\n100_m3_r01.txt,100,3,rand+nn,1685.258281160779,0.000479,True,ortools-gls,816.857599,5.00134,True,868.400682,106.309923
uniform,n100_m3_r01.txt,data\mtsp\generated\n100_m3_r01.txt,100,3,2opt+greed,1130.9069737956602,0.000577,True,ortools-gls,816.857599,5.00134,True,314.049375,38.446037
uniform,n100_m3_r01.txt,data\mtsp\generated\n100_m3_r01.txt,100,3,grasp,923.9466108355887,0.461057,True,ortools-gls,816.857599,5.00134,True,107.089012,13.109875
uniform,n100_m3_r01.txt,data\mtsp\generated\n100_m3_r01.txt,100,3,lkh-wrapper,1029.564753009231,0.015927,True,ortools-gls,816.857599,5.00134,True,212.707154,26.039686
uniform,n100_m3_r01.txt,data\mtsp\generated\n100_m3_r01.txt,100,3,lkh-wrapper-v1,1029.564753009231,0.015485,True,ortools-gls,816.857599,5.00134,True,212.707154,26.039686
uniform,n100_m3_r01.txt,data\mtsp\generated\n100_m3_r01.txt,100,3,lkh-wrapper-v2,944.0537070445853,0.011882,True,ortools-gls,816.857599,5.00134,True,127.196108,15.571393
uniform,n100_m3_r01.txt,data\mtsp\generated\n100_m3_r01.txt,100,3,lkh-wrapper-v3,944.0537070445853,0.009238,True,ortools-gls,816.857599,5.00134,True,127.196108,15.571393
uniform,n100_m3_r02.txt,data\mtsp\generated\n100_m3_r02.txt,100,3,rand+nn,1828.4521729022717,0.000492,True,ortools-gls,844.760762,5.00042,True,983.691411,116.446153
uniform,n100_m3_r02.txt,data\mtsp\generated\n100_m3_r02.txt,100,3,2opt+greed,1194.840515190461,0.000614,True,ortools-gls,844.760762,5.00042,True,350.079753,41.44129
uniform,n100_m3_r02.txt,data\mtsp\generated\n100_m3_r02.txt,100,3,grasp,994.8066374180703,0.480777,True,ortools-gls,844.760762,5.00042,True,150.045875,17.761937
uniform,n100_m3_r02.txt,data\mtsp\generated\n100_m3_r02.txt,100,3,lkh-wrapper,947.1037214041395,0.013324,True,ortools-gls,844.760762,5.00042,True,102.342959,12.115023
uniform,n100_m3_r02.txt,data\mtsp\generated\n100_m3_r02.txt,100,3,lkh-wrapper-v1,947.1037214041395,0.013699,True,ortools-gls,844.760762,5.00042,True,102.342959,12.115023
uniform,n100_m3_r02.txt,data\mtsp\generated\n100_m3_r02.txt,100,3,lkh-wrapper-v2,881.0567081332235,0.00604,True,ortools-gls,844.760762,5.00042,True,36.295946,4.296595
uniform,n100_m3_r02.txt,data\mtsp\generated\n100_m3_r02.txt,100,3,lkh-wrapper-v3,892.920978425923,0.004192,True,ortools-gls,844.760762,5.00042,True,48.160216,5.701048
uniform,n100_m3_r03.txt,data\mtsp\generated\n100_m3_r03.txt,100,3,rand+nn,1778.6446628456156,0.000478,True,ortools-gls,892.309825,5.00059,True,886.334838,99.330391
uniform,n100_m3_r03.txt,data\mtsp\generated\n100_m3_r03.txt,100,3,2opt+greed,1193.1171322985222,0.000574,True,ortools-gls,892.309825,5.00059,True,300.807307,33.711083
uniform,n100_m3_r03.txt,data\mtsp\generated\n100_m3_r03.txt,100,3,grasp,1028.548875053543,0.477723,True,ortools-gls,892.309825,5.00059,True,136.23905,15.268133
uniform,n100_m3_r03.txt,data\mtsp\generated\n100_m3_r03.txt,100,3,lkh-wrapper,1080.8821286073328,0.018264,True,ortools-gls,892.309825,5.00059,True,188.572304,21.133053
uniform,n100_m3_r03.txt,data\mtsp\generated\n100_m3_r03.txt,100,3,lkh-wrapper-v1,1080.8821286073328,0.017956,True,ortools-gls,892.309825,5.00059,True,188.572304,21.133053
uniform,n100_m3_r03.txt,data\mtsp\generated\n100_m3_r03.txt,100,3,lkh-wrapper-v2,954.8335860014408,0.005605,True,ortools-gls,892.309825,5.00059,True,62.523761,7.006956
uniform,n100_m3_r03.txt,data\mtsp\generated\n100_m3_r03.txt,100,3,lkh-wrapper-v3,956.2375399017853,0.005327,True,ortools-gls,892.309825,5.00059,True,63.927715,7.164296
uniform,n100_m3_r04.txt,data\mtsp\generated\n100_m3_r04.txt,100,3,rand+nn,1595.6434592374517,0.000497,True,ortools-gls,774.205281,5.000654,True,821.438178,106.100823
uniform,n100_m3_r04.txt,data\mtsp\generated\n100_m3_r04.txt,100,3,2opt+greed,1204.2726079588883,0.000596,True,ortools-gls,774.205281,5.000654,True,430.067327,55.549521
uniform,n100_m3_r04.txt,data\mtsp\generated\n100_m3_r04.txt,100,3,grasp,881.9487314387336,0.456217,True,ortools-gls,774.205281,5.000654,True,107.74345,13.916651
uniform,n100_m3_r04.txt,data\mtsp\generated\n100_m3_r04.txt,100,3,lkh-wrapper,1060.5551145393038,0.019974,True,ortools-gls,774.205281,5.000654,True,286.349834,36.986293
uniform,n100_m3_r04.txt,data\mtsp\generated\n100_m3_r04.txt,100,3,lkh-wrapper-v1,1060.5551145393038,0.018978,True,ortools-gls,774.205281,5.000654,True,286.349834,36.986293
uniform,n100_m3_r04.txt,data\mtsp\generated\n100_m3_r04.txt,100,3,lkh-wrapper-v2,898.606731293278,0.005626,True,ortools-gls,774.205281,5.000654,True,124.40145,16.068277
uniform,n100_m3_r04.txt,data\mtsp\generated\n100_m3_r04.txt,100,3,lkh-wrapper-v3,891.4925655984425,0.003844,True,ortools-gls,774.205281,5.000654,True,117.287285,15.149378
uniform,n100_m3_r05.txt,data\mtsp\generated\n100_m3_r05.txt,100,3,rand+nn,1662.634154162223,0.000483,True,ortools-gls,836.115648,5.000988,True,826.518506,98.852175
uniform,n100_m3_r05.txt,data\mtsp\generated\n100_m3_r05.txt,100,3,2opt+greed,1001.3955824440736,0.000949,True,ortools-gls,836.115648,5.000988,True,165.279934,19.767592
uniform,n100_m3_r05.txt,data\mtsp\generated\n100_m3_r05.txt,100,3,grasp,958.8799590387641,0.447491,True,ortools-gls,836.115648,5.000988,True,122.764311,14.682695
uniform,n100_m3_r05.txt,data\mtsp\generated\n100_m3_r05.txt,100,3,lkh-wrapper,917.2991788032372,0.011499,True,ortools-gls,836.115648,5.000988,True,81.183531,9.709606
uniform,n100_m3_r05.txt,data\mtsp\generated\n100_m3_r05.txt,100,3,lkh-wrapper-v1,917.2991788032372,0.010675,True,ortools-gls,836.115648,5.000988,True,81.183531,9.709606
uniform,n100_m3_r05.txt,data\mtsp\generated\n100_m3_r05.txt,100,3,lkh-wrapper-v2,912.5250389551959,0.005498,True,ortools-gls,836.115648,5.000988,True,76.409391,9.138615
uniform,n100_m3_r05.txt,data\mtsp\generated\n100_m3_r05.txt,100,3,lkh-wrapper-v3,904.0610037340342,0.006226,True,ortools-gls,836.115648,5.000988,True,67.945356,8.126311
uniform,n100_m3_r06.txt,data\mtsp\generated\n100_m3_r06.txt,100,3,rand+nn,1603.7548350670445,0.000488,True,ortools-gls,815.568452,5.000967,True,788.186383,96.642579
uniform,n100_m3_r06.txt,data\mtsp\generated\n100_m3_r06.txt,100,3,2opt+greed,980.6420004491079,0.000569,True,ortools-gls,815.568452,5.000967,True,165.073548,20.240306
uniform,n100_m3_r06.txt,data\mtsp\generated\n100_m3_r06.txt,100,3,grasp,964.9023598893893,0.443088,True,ortools-gls,815.568452,5.000967,True,149.333908,18.310408
uniform,n100_m3_r06.txt,data\mtsp\generated\n100_m3_r06.txt,100,3,lkh-wrapper,871.256209224186,0.010291,True,ortools-gls,815.568452,5.000967,True,55.687757,6.828091
uniform,n100_m3_r06.txt,data\mtsp\generated\n100_m3_r06.txt,100,3,lkh-wrapper-v1,871.256209224186,0.008652,True,ortools-gls,815.568452,5.000967,True,55.687757,6.828091
uniform,n100_m3_r06.txt,data\mtsp\generated\n100_m3_r06.txt,100,3,lkh-wrapper-v2,889.2464085783639,0.006306,True,ortools-gls,815.568452,5.000967,True,73.677957,9.033939
uniform,n100_m3_r06.txt,data\mtsp\generated\n100_m3_r06.txt,100,3,lkh-wrapper-v3,887.4800443988823,0.005395,True,ortools-gls,815.568452,5.000967,True,71.911592,8.817358
uniform,n100_m3_r07.txt,data\mtsp\generated\n100_m3_r07.txt,100,3,rand+nn,1783.24086097006,0.000492,True,ortools-gls,832.322765,5.000776,True,950.918096,114.248719
uniform,n100_m3_r07.txt,data\mtsp\generated\n100_m3_r07.txt,100,3,2opt+greed,1272.4614850976013,0.000563,True,ortools-gls,832.322765,5.000776,True,440.13872,52.880774
