instance,family,node_count,salesman_count,solver,seed,objective,time_seconds,valid
uniform_n100_m3_pilot.txt,uniform,100,3,lkh-wrapper-v2,17,940.4920738770727,0.006144,True
uniform_n100_m3_pilot.txt,uniform,100,3,lkh-wrapper-v2,18,940.1436060307738,0.007242,True
uniform_n100_m3_pilot.txt,uniform,100,3,lkh-wrapper-v2,19,940.4920738770727,0.006363,True
uniform_n100_m3_pilot.txt,uniform,100,3,lkh-wrapper-v2,20,940.1436060307738,0.005416,True
clustered_center_n100_m3_pilot.txt,clustered_center,100,3,rand+nn,1,885.0605176049837,0.000457,True
clustered_center_n100_m3_pilot.txt,clustered_center,100,3,rand+nn,2,1040.0983423192129,0.000449,True
clustered_center_n100_m3_pilot.txt,clustered_center,100,3,rand+nn,3,987.327872016871,0.000473,True
clustered_center_n100_m3_pilot.txt,clustered_center,100,3,rand+nn,4,956.3480773294621,0.000503,True
clustered_center_n100_m3_pilot.txt,clustered_center,100,3,rand+nn,5,879.5095102944294,0.000491,True
clustered_center_n100_m3_pilot.txt,clustered_center,100,3,rand+nn,6,995.3423458596931,0.000435,True
clustered_center_n100_m3_pilot.txt,clustered_center,100,3,rand+nn,7,898.42301922515,0.000462,True
clustered_center_n100_m3_pilot.txt,clustered_center,100,3,rand+nn,8,930.4165070332197,0.000492,True
clustered_center_n100_m3_pilot.txt,clustered_center,100,3,rand+nn,9,907.7408085748441,0.000668,True
clustered_center_n100_m3_pilot.txt,clustered_center,100,3,rand+nn,10,858.9347488426224,0.000686,True
clustered_center_n100_m3_pilot.txt,clustered_center,100,3,rand+nn,11,872.5751280845814,0.000655,True
clustered_center_n100_m3_pilot.txt,clustered_center,100,3,rand+nn,12,905.1415784648909,0.000893,True
clustered_center_n100_m3_pilot.txt,clustered_center,100,3,rand+nn,13,1005.6032404155513,0.00046,True
clustered_center_n100_m3_pilot.txt,clustered_center,100,3,rand+nn,14,918.894148462168,0.000637,True
clustered_center_n100_m3_pilot.txt,clustered_center,100,3,rand+nn,15,918.0236821589608,0.0006,True
clustered_center_n100_m3_pilot.txt,clustered_center,100,3,rand+nn,16,996.1077782071958,0.000449,True
clustered_center_n100_m3_pilot.txt,clustered_center,100,3,rand+nn,17,910.0434655479585,0.000446,True
clustered_center_n100_m3_pilot.txt,clustered_center,100,3,rand+nn,18,875.1168485732617,0.000445,True
clustered_center_n100_m3_pilot.txt,clustered_center,100,3,rand+nn,19,887.0066289996532,0.000442,True
clustered_center_n100_m3_pilot.txt,clustered_center,100,3,rand+nn,20,876.6502515495447,0.000451,True
clustered_center_n100_m3_pilot.txt,clustered_center,100,3,grasp,1,580.751173203987,0.523819,True
clustered_center_n100_m3_pilot.txt,clustered_center,100,3,grasp,2,565.2964328338252,0.512293,True
clustered_center_n100_m3_pilot.txt,clustered_center,100,3,grasp,3,555.9923929282536,0.522984,True
clustered_center_n100_m3_pilot.txt,clustered_center,100,3,grasp,4,569.229760790219,0.491542,True
clustered_center_n100_m3_pilot.txt,clustered_center,100,3,grasp,5,576.1494889379995,0.480568,True
clustered_center_n100_m3_pilot.txt,clustered_center,100,3,grasp,6,564.8913892942478,0.518818,True
clustered_center_n100_m3_pilot.txt,clustered_center,100,3,grasp,7,564.9060089003237,0.48299,True
clustered_center_n100_m3_pilot.txt,clustered_center,100,3,grasp,8,558.2662515698266,0.493341,True
clustered_center_n100_m3_pilot.txt,clustered_center,100,3,grasp,9,574.0494653198214,0.525239,True
clustered_center_n100_m3_pilot.txt,clustered_center,100,3,grasp,10,577.2382994422494,0.514385,True
clustered_center_n100_m3_pilot.txt,clustered_center,100,3,grasp,11,575.0647653627797,0.544034,True
clustered_center_n100_m3_pilot.txt,clustered_center,100,3,grasp,12,579.2343462401072,0.521286,True
clustered_center_n100_m3_pilot.txt,clustered_center,100,3,grasp,13,571.5531396781798,0.476199,True
clustered_center_n100_m3_pilot.txt,clustered_center,100,3,grasp,14,583.8827362797773,0.546809,True
