instance_family,instance,path,node_count,salesman_count,solver,objective,time_seconds,valid,reference_solver,reference_objective,reference_time_seconds,reference_valid,objective_gap,relative_gap_percent
uniform,n100_m3_r01.txt,data\mtsp\generated\n100_m3_r01.txt,100,3,lkh-wrapper-v2,944.0537070445853,0.012332,True,ortools-gls,816.857599,5.00134,True,127.196108,15.571393
uniform,n100_m3_r01.txt,data\mtsp\generated\n100_m3_r01.txt,100,3,lkh-wrapper-v3,944.0537070445853,0.006345,True,ortools-gls,816.857599,5.00134,True,127.196108,15.571393
uniform,n100_m3_r02.txt,data\mtsp\generated\n100_m3_r02.txt,100,3,lkh-wrapper-v1,947.1037214041395,0.011751,True,ortools-gls,844.760762,5.00042,True,102.342959,12.115023
uniform,n100_m3_r02.txt,data\mtsp\generated\n100_m3_r02.txt,100,3,lkh-wrapper-v2,881.0567081332235,0.006842,True,ortools-gls,844.760762,5.00042,True,36.295946,4.296595
uniform,n100_m3_r02.txt,data\mtsp\generated\n100_m3_r02.txt,100,3,lkh-wrapper-v3,892.920978425923,0.005946,True,ortools-gls,844.760762,5.00042,True,48.160216,5.701048
uniform,n100_m3_r03.txt,data\mtsp\generated\n100_m3_r03.txt,100,3,lkh-wrapper-v1,1080.8821286073328,0.018109,True,ortools-gls,892.309825,5.00059,True,188.572304,21.133053
uniform,n100_m3_r03.txt,data\mtsp\generated\n100_m3_r03.txt,100,3,lkh-wrapper-v2,954.8335860014408,0.008882,True,ortools-gls,892.309825,5.00059,True,62.523761,7.006956
uniform,n100_m3_r03.txt,data\mtsp\generated\n100_m3_r03.txt,100,3,lkh-wrapper-v3,956.2375399017853,0.004326,True,ortools-gls,892.309825,5.00059,True,63.927715,7.164296
uniform,n100_m3_r04.txt,data\mtsp\generated\n100_m3_r04.txt,100,3,lkh-wrapper-v1,1060.5551145393038,0.018265,True,ortools-gls,774.205281,5.000654,True,286.349834,36.986293
uniform,n100_m3_r04.txt,data\mtsp\generated\n100_m3_r04.txt,100,3,lkh-wrapper-v2,898.606731293278,0.005669,True,ortools-gls,774.205281,5.000654,True,124.40145,16.068277
uniform,n100_m3_r04.txt,data\mtsp\generated\n100_m3_r04.txt,100,3,lkh-wrapper-v3,891.4925655984425,0.00444,True,ortools-gls,774.205281,5.000654,True,117.287285,15.149378
uniform,n100_m3_r05.txt,data\mtsp\generated\n100_m3_r05.txt,100,3,lkh-wrapper-v1,917.2991788032372,0.012212,True,ortools-gls,836.115648,5.000988,True,81.183531,9.709606
uniform,n100_m3_r05.txt,data\mtsp\generated\n100_m3_r05.txt,100,3,lkh-wrapper-v2,912.5250389551959,0.005493,True,ortools-gls,836.115648,5.000988,True,76.409391,9.138615
uniform,n100_m3_r05.txt,data\mtsp\generated\n100_m3_r05.txt,100,3,lkh-wrapper-v3,904.0610037340342,0.005899,True,ortools-gls,836.115648,5.000988,True,67.945356,8.126311
uniform,n100_m3_r06.txt,data\mtsp\generated\n100_m3_r06.txt,100,3,lkh-wrapper-v1,871.256209224186,0.009031,True,ortools-gls,815.568452,5.000967,True,55.687757,6.828091
uniform,n100_m3_r06.txt,data\mtsp\generated\n100_m3_r06.txt,100,3,lkh-wrapper-v2,889.2464085783639,0.006687,True,ortools-gls,815.568452,5.000967,True,73.677957,9.033939
uniform,n100_m3_r06.txt,data\mtsp\generated\n100_m3_r06.txt,100,3,lkh-wrapper-v3,887.4800443988823,0.005571,True,ortools-gls,815.568452,5.000967,True,71.911592,8.817358
uniform,n100_m3_r07.txt,data\mtsp\generated\n100_m3_r07.txt,100,3,lkh-wrapper-v1,1108.3684239130073,0.016167,True,ortools-gls,832.322765,5.000776,True,276.045659,33.165699
uniform,n100_m3_r07.txt,data\mtsp\generated\n100_m3_r07.txt,100,3,lkh-wrapper-v2,869.9362556614676,0.008628,True,ortools-gls,832.322765,5.000776,True,37.613491,4.519099
uniform,n100_m3_r07.txt,data\mtsp\generated\n100_m3_r07.txt,100,3,lkh-wrapper-v3,869.5904596997516,0.006403,True,ortools-gls,832.322765,5.000776,True,37.267695,4.477553
uniform,n100_m3_r08.txt,data\mtsp\generated\n100_m3_r08.txt,100,3,lkh-wrapper-v1,1107.5833339460305,0.02395,True,ortools-gls,857.475541,5.000486,True,250.107793,29.167922
uniform,n100_m3_r08.txt,data\mtsp\generated\n100_m3_r08.txt,100,3,lkh-wrapper-v2,900.2195726113423,0.014785,True,ortools-gls,857.475541,5.000486,True,42.744032,4.984869
uniform,n100_m3_r08.txt,data\mtsp\generated\n100_m3_r08.txt,100,3,lkh-wrapper-v3,903.7258621277899,0.007021,True,ortools-gls,857.475541,5.000486,True,46.250321,5.393777
uniform,n100_m3_r09.txt,data\mtsp\generated\n100_m3_r09.txt,100,3,lkh-wrapper-v1,1070.9917592771317,0.027456,True,ortools-gls,822.735604,5.001044,True,248.256155,30.174476
uniform,n100_m3_r09.txt,data\mtsp\generated\n100_m3_r09.txt,100,3,lkh-wrapper-v2,905.990572408602,0.007743,True,ortools-gls,822.735604,5.001044,True,83.254968,10.119286
uniform,n100_m3_r09.txt,data\mtsp\generated\n100_m3_r09.txt,100,3,lkh-wrapper-v3,894.9256228277484,0.007083,True,ortools-gls,822.735604,5.001044,True,72.190019,8.774389
uniform,n100_m3_r10.txt,data\mtsp\generated\n100_m3_r10.txt,100,3,lkh-wrapper-v1,904.8394705187637,0.008166,True,ortools-gls,784.00761,5.000676,True,120.831861,15.412078
uniform,n100_m3_r10.txt,data\mtsp\generated\n100_m3_r10.txt,100,3,lkh-wrapper-v2,924.0559194949336,0.005209,True,ortools-gls,784.00761,5.000676,True,140.048309,17.863131
uniform,n100_m3_r10.txt,data\mtsp\generated\n100_m3_r10.txt,100,3,lkh-wrapper-v3,916.3605994697073,0.005019,True,ortools-gls,784.00761,5.000676,True,132.352989,16.881595
uniform,n100_m5_r01.txt,data\mtsp\generated\n100_m5_r01.txt,100,5,lkh-wrapper-v1,1122.2372382165352,0.013526,True,ortools-gls,795.98205,5.001226,True,326.255188,40.987757
uniform,n100_m5_r01.txt,data\mtsp\generated\n100_m5_r01.txt,100,5,lkh-wrapper-v2,950.4949708081105,0.007111,True,ortools-gls,795.98205,5.001226,True,154.512921,19.411609
uniform,n100_m5_r01.txt,data\mtsp\generated\n100_m5_r01.txt,100,5,lkh-wrapper-v3,955.9991601023225,0.005226,True,ortools-gls,795.98205,5.001226,True,160.01711,20.103105
uniform,n100_m5_r02.txt,data\mtsp\generated\n100_m5_r02.txt,100,5,lkh-wrapper-v1,1113.6645598778748,0.015571,True,ortools-gls,839.697049,5.001059,True,273.967511,32.626947
