"instance","seed","valid","objective","time","before","after","raw","final","inrun_delta","inrun_pct","improvements","accepted"
"uniform_n10000_m5_r01.txt","42","True","450904.70866751","32.555875","451774.942761","450904.708668","450904.708668","451782.099216","-870.234093000006","0.192625577612077","15","38"
"uniform_n10000_m5_r01.txt","43","True","437775.549113826","30.225318","440590.21444","437820.474063","437820.474063","437775.549114","-2769.74037700001","0.628643189572517","49","75"
"uniform_n10000_m5_r01.txt","44","True","465379.364845348","32.529299","470696.834362","465379.364845","465379.364845","470637.122694","-5317.46951700002","1.12970156772087","58","75"
"uniform_n10000_m5_r01.txt","45","True","452751.416248435","30.28595","454082.9979","452751.416248","452751.416248","461974.675052","-1331.58165200002","0.293246313594254","54","76"
