"instance","seed","status","valid","objective","time","before","after","inrun_delta","inrun_pct","improvements","accepted"
"uniform_n10000_m5_r01.txt","42","ok","True","451873.989981682","32.475535","451873.989982","450383.332959","-1490.65702300001","0.329883342712287","29","40"
"uniform_n10000_m5_r01.txt","43","ok","True","439533.185863359","30.860814","439969.092258","436132.412423","-3836.67983500002","0.872033945682296","51","68"
"uniform_n10000_m5_r01.txt","44","ok","True","469647.88344502","32.320238","469647.883445","466452.100127","-3195.78331799997","0.680463690064565","46","60"
"uniform_n10000_m5_r01.txt","45","ok","True","453820.757014282","30.629083","453820.757014","452731.41472","-1089.34229399997","0.240038005570196","42","62"
