instance,n,m,variant,seed,valid,objective,sum,makespan,min_route,gini,balance_ratio,wall_seconds,solver_time_seconds,timed_out,error
uniform_n10000_m5_r01.txt,10000,5,default,101,True,414460.20528305904,414460.20528305904,91278.23800957823,74200.71949593633,0.03894284089578674,1.1011701104963623,35.28476405143738,35.22234,,
uniform_n10000_m5_r01.txt,10000,5,default,102,True,416524.17334153934,416524.17334153934,92294.67976610157,74185.88112091762,0.03943913324777244,1.107915046390624,37.311197996139526,37.238424,,
uniform_n10000_m5_r01.txt,10000,5,default,103,True,416478.1169614631,416478.1169614631,94222.9166437996,72617.78720978525,0.04696126802786586,1.1311868836138406,36.97163772583008,36.901308,,
uniform_n10000_m5_r01.txt,10000,5,no_region_reopt,101,True,416848.5386998176,416848.53869981755,92706.00803075002,74462.71013914018,0.036962314985144795,1.1119867220826434,36.191373348236084,36.121622,,
uniform_n10000_m5_r01.txt,10000,5,no_region_reopt,102,True,414996.64706335985,414996.64706335985,92284.76800006206,73553.51675110454,0.04052494395717343,1.1118736579331017,37.835312366485596,37.758841,,
uniform_n10000_m5_r01.txt,10000,5,no_region_reopt,103,True,409841.68325368187,409841.68325368187,91893.71776837262,71757.2831318954,0.043120228042586334,1.121087989865256,34.847681522369385,34.788535,,
uniform_n10000_m5_r01.txt,10000,5,no_region_granular,101,True,415814.91216332064,415814.9121633207,89796.71634777701,71635.91068127716,0.03801992479421402,1.079767869321956,35.664342641830444,35.600121,,
uniform_n10000_m5_r01.txt,10000,5,no_region_granular,102,True,413171.48399425973,413171.4839942597,91804.774073169,72862.5586644275,0.04345355553120507,1.1109766480695031,35.280041217803955,35.229612,,
uniform_n10000_m5_r01.txt,10000,5,no_region_granular,103,True,412986.49365386064,412986.4936538607,89621.45879788352,74726.17670355739,0.03551284178448912,1.0850410385696365,34.594661235809326,34.546931,,
uniform_n10000_m5_r01.txt,10000,5,no_classic_seeds,101,True,432750.54748509295,432750.54748509295,92319.5009326372,79720.44745100004,0.027673783910610435,1.0666595509716523,34.03632473945618,33.989566,,
uniform_n10000_m5_r01.txt,10000,5,no_classic_seeds,102,True,439073.8335665611,439073.8335665611,91660.79923830081,84523.01355730192,0.014927508291813964,1.0437971046207375,34.35895848274231,34.30361,,
uniform_n10000_m5_r01.txt,10000,5,no_classic_seeds,103,True,431186.05307251366,431186.05307251366,90017.83854988882,80205.02479339097,0.019817918672855928,1.043839868062132,34.59544920921326,34.54701,,
uniform_n10000_m5_r01.txt,10000,5,no_rebalance,101,True,412878.6287252845,412878.6287252845,92025.69032753834,71947.4500738258,0.043530703876967024,1.1144399821765676,35.477224588394165,35.430202,,
uniform_n10000_m5_r01.txt,10000,5,no_rebalance,102,True,413357.15213894844,413357.15213894844,92585.8399047146,73865.99439123046,0.04128016803573098,1.119925461862968,35.63989233970642,35.591298,,
uniform_n10000_m5_r01.txt,10000,5,no_rebalance,103,True,413253.97246481484,413253.9724648148,94172.82693657852,73134.73827695186,0.04593580183679904,1.1394061910027564,35.680540323257446,35.621072,,
