source,instance,family,n,m,solver,objective,time_seconds,makespan,sum,mean,min_route,min_nonempty,range,std,mad,gini,balance_ratio,n_nonempty,n_empty
verify_n25000_results.csv,uniform_n25000_m5_r01.txt,uniform,25000,5,lkh3-baseline,1419561.4315461316,1608.10167,1419060.1343057852,1419561.4315461318,283912.28630922636,87.53550986885267,87.53550986885267,1418972.5987959164,567573.9254020258,454059.1391986235,0.7996976514858832,4.998234323541037,5,0
verify_n25000_results.csv,uniform_n25000_m5_r01.txt,uniform,25000,5,lkh-wrapper-v21,1671487.554637418,154.54241,355996.078953155,1671487.5546374177,334297.51092748356,321386.44703324523,321386.44703324523,34609.63191990979,12344.38509630495,10696.133758554584,0.019735779361965307,1.0649079556873469,5,0
verify_n25000_results.csv,uniform_n25000_m5_r01.txt,uniform,25000,5,lkh_v21_minsum,1592819.2342328574,88.963523,346352.5199118989,1592819.2342328574,318563.8468465715,299958.37721948425,299958.37721948425,46394.142692414636,16674.449664069132,13765.0784929913,0.028115876458974447,1.0872310946154262,5,0
verify_n25000_results.csv,uniform_n25000_m5_r01.txt,uniform,25000,5,lkh_v21_minsum_cap,1602522.2191611344,89.648807,342556.3387546221,1602522.2191611344,320504.4438322269,307446.49519237626,307446.49519237626,35109.843562245835,12925.943247974066,11156.23183230072,0.021872674125858225,1.0688037103595935,5,0
verify_n25000_results.csv,uniform_n25000_m5_r01.txt,uniform,25000,5,lkh_v21_minsum_depot2m_plus,1569641.333811149,193.120642,1569171.464714037,1569641.333811149,313928.2667622298,87.53550986885267,87.53550986885267,1569083.9292041683,627621.599614129,502097.2791807229,0.7997345692781801,4.998503259671523,5,0
verify_n25000_results.csv,uniform_n25000_m7_r01.txt,uniform,25000,7,lkh3-baseline,1419836.1804844015,1643.414601,1419302.6965156267,1419836.1804844013,202833.7400692002,13.603918553121998,13.603918553121998,1419289.0925970736,496621.3742489579,347562.55898469326,0.8568732275717595,6.997369846019737,7,0
verify_n25000_results.csv,uniform_n25000_m7_r01.txt,uniform,25000,7,lkh-wrapper-v21,1789729.4358590117,150.032923,278404.06553893257,1789729.4358590117,255675.63369414452,222559.11695987155,222559.11695987155,55844.94857906102,16974.00550972095,13420.237799132223,0.035855263315729906,1.0888955725518108,7,0
verify_n25000_results.csv,uniform_n25000_m7_r01.txt,uniform,25000,7,lkh_v21_minsum,1659764.0502062598,92.480799,261694.15337045558,1659764.0502062598,237109.1500294657,197166.12520947374,197166.12520947374,64528.028160981834,20403.85095256143,15600.028790074624,0.04694790312650558,1.1036864386630996,7,0
verify_n25000_results.csv,uniform_n25000_m7_r01.txt,uniform,25000,7,lkh_v21_minsum_cap,1669762.8921343393,91.889857,262094.39726745122,1669762.8921343393,238537.55601919134,197746.1045923686,197746.1045923686,64348.29267508263,21650.669579062265,17802.4143399106,0.05007468925665697,1.098755272089585,7,0
verify_n25000_results.csv,uniform_n25000_m7_r01.txt,uniform,25000,7,lkh_v21_minsum_depot2m_plus,1610579.878458784,194.977254,832059.6398217808,1610579.878458784,230082.8397798263,13.603918553121998,13.603918553121998,832046.0359032277,363952.86020169425,328576.2542576743,0.7188882835211966,3.6163480971375597,7,0
extended_n50000_results.csv,uniform_n50000_m5_r01.txt,uniform,50000,5,2opt+greed,4650139.629510124,24.033639,972964.6220037825,4650139.629510124,930027.9259020248,885726.5312352991,885726.5312352991,87238.09076848347,31776.02420681324,27800.544815538382,0.01927769553358684,1.046167104133044,5,0
extended_n50000_results.csv,uniform_n50000_m5_r01.txt,uniform,50000,5,lkh-wrapper-v21,4646700.4632255705,250.410711,971650.0994643411,4646700.4632255705,929340.092645114,885682.1708212742,885682.1708212742,85967.9286430669,31082.515797861728,27038.89569036928,0.01888672543314566,1.04552693589147,5,0
extended_n50000_results.csv,uniform_n50000_m5_r01.txt,uniform,50000,5,lkh_v21_minsum,4531775.911103358,168.035289,949591.5175521068,4531775.911103358,906355.1822206716,866829.2647507889,866829.2647507889,82762.25280131784,28660.10940110914,24396.633178247583,0.0177593173288764,1.047703523055389,5,0
