instance,n_seeds,mean_base,mean_cap,mean_diff,mean_rel_pct,n_improved,wilcoxon_p,ci95_lo,ci95_hi
clustered-center_n10000_m100_r01,5,12971.939916107267,12236.121745731283,-735.8181703759844,-5.569757823617138,5,0.03125,-1174.0200393144692,-443.91747731757533
clustered-offset-depot_n10000_m100_r01,5,21818.13237012728,20676.660129608343,-1141.4722405189386,-5.2214967196869475,5,0.03125,-1572.366626338505,-657.9825881908516
mixed-outliers_n10000_m100_r01,5,17413.670496782324,16995.178011734115,-418.49248504820827,-2.338112359684894,3,0.15625,-988.5389523971783,176.1736673604617
n10000_m100_r01,5,15669.416147011048,15385.570264250617,-283.8458827604318,-1.80015059565803,5,0.03125,-574.8876656369714,-93.23986617092888
