instance,n,m_target,n_routes,valid,timed_out,time_seconds,capacity,sum,makespan,min_route,range,std,gini,balance_ratio,n_nonempty
berlin52_m2.txt,52,2,2,True,False,10.238296508789062,260,7882.959749576052,4885.19766511762,2997.762084458432,1887.435580659188,943.717790329594,0.11971617518158043,1.239432350363161,2
berlin52_m3.txt,52,3,3,True,False,10.199681043624878,170,8499.002108777528,3800.4756543633466,2326.7616040676758,1473.7140502956709,684.3547614544952,0.1155989869111544,1.3415018395294867,3
berlin52_m5.txt,52,5,5,True,False,10.213950634002686,110,9523.796804658039,3482.2059547112704,827.6424729509284,2654.563481760342,922.8571196134259,0.26171909174446073,1.828160567751793,5
berlin52_m7.txt,52,7,7,True,False,10.223217487335205,80,10747.610026881795,3627.259159448559,257.21140385553093,3370.047755593028,1020.9900584796644,0.3571882519653211,2.36246142655276,7
eil51_m2.txt,51,2,2,True,False,10.19347858428955,250,444.8044865082717,223.0609612906274,221.74352521764428,1.3174360729831278,0.6587180364915639,0.0014809159000677352,1.0029618318001354,2
eil51_m3.txt,51,3,3,True,False,10.187466859817505,170,464.1096398985272,178.4249675862028,136.64475124815812,41.78021633804468,17.52048854951681,0.060014865377039636,1.1533371788520506,3
eil51_m5.txt,51,5,5,True,False,10.205687522888184,100,552.0499933572661,132.41662964712478,86.68427027750957,45.73235936961521,15.348306642931012,0.07788410711858708,1.1993173737928993,5
eil51_m7.txt,51,7,7,True,False,10.225774049758911,80,615.821559466766,132.12912420054172,22.39123152983209,109.73789267070964,31.614427488063775,0.18717208618020234,1.5019023858220513,7
eil76_m2.txt,76,2,2,True,False,10.227520942687988,380,558.5947515972053,335.7861903350203,222.80856126218507,112.97762907283524,56.48881453641762,0.10112664749337082,1.2022532949867417,2
eil76_m3.txt,76,3,3,True,False,10.192112445831299,250,588.1972977027748,215.27452778195573,184.2840201862464,30.990507595709317,13.69849911757666,0.035124844125991775,1.097971013923651,3
eil76_m5.txt,76,5,5,True,False,10.191027641296387,150,683.8218170495792,167.4913977604714,92.84521115817981,74.64618660229158,25.770407686125694,0.10346080848082667,1.2246713513991887,5
eil76_m7.txt,76,7,7,True,False,10.196208477020264,110,783.4150934125327,155.9501120420428,78.12631971961945,77.82379232242336,28.73856459020724,0.1429295531510624,1.3934513050279662,7
rat99_m2.txt,99,2,2,True,False,10.2199387550354,490,1331.7559479812744,665.9908970185239,665.7650509627505,0.2258460557734452,0.1129230278867226,8.479258384983791e-05,1.0001695851676997,2
rat99_m3.txt,99,3,3,True,False,10.21471118927002,330,1527.1805736120007,600.4007822294423,434.94288816532105,165.4578940641212,68.63701583373079,0.07222804206350425,1.1794298446504106,3
rat99_m5.txt,99,5,5,True,False,10.23444414138794,200,1950.2044405056704,506.236064508051,266.76941157140044,239.46665293665058,101.14313887401737,0.1410579002618134,1.2979051170060625,5
rat99_m7.txt,99,7,7,True,False,10.20190691947937,140,2444.1310071746075,486.78100359978475,204.55202696139187,282.22897663839285,106.84914948392235,0.17051649484221562,1.3941425460403176,7
