solver,instance,valid,timed_out,t_actual_s,sum,makespan,min_route,gini,std,n_nonempty,n_routes,error,stdout_tail
alns_minsum,uniform_n100000_m5_r01.txt,True,False,343.65753173828125,12129123.296954436,12129123.296954436,12129123.296954436,0.7999999999999999,4851649.3187817745,1,5,,
filo2,uniform_n100000_m5_r01.txt,True,False,525.3921902179718,2618596264.7243695,507988420.85526896,274753035.0278197,0.08420827124745758,75857227.08679411,6,6,,
alns_minsum,clustered-center_n100000_m5_r01.txt,True,False,321.94041657447815,2768835.8280567983,2768835.8280567983,2768835.8280567983,0.8,1107534.3312227193,1,5,,
filo2,clustered-center_n100000_m5_r01.txt,True,False,359.0136921405792,290451832.45099294,56740114.2183731,234845.64435320243,0.3415897861294245,19770625.834471032,9,9,,
alns_minsum,clustered-offset-depot_n100000_m5_r01.txt,True,False,486.64093351364136,2914022.6470821244,592732.4969604836,570018.5606330265,0.007607253504818545,8110.933122214357,5,5,,
filo2,clustered-offset-depot_n100000_m5_r01.txt,True,True,9930.106304645538,268616634.7893673,55216219.01147188,126554.48392698467,0.4137855275546073,19641907.094997507,10,10,,
