solver,description,n_pairs,mean_sum_diff_pct,median_sum_diff_pct,mean_gini_solver,mean_gini_ref,mean_makespan_solver,mean_makespan_ref,mean_time_solver,mean_time_ref
2opt+greed,no ALNS / no SA / no POPMUSIC / no GLS / no candidates,10,3.6831972287414483,3.714855836087083,0.01911816521731496,0.016916102608671293,934630.0980486309,897535.4148118893,123.6599188,258.6344924
lkh-wrapper-v21,"single-file ALNS, simpler pipeline (no PT/autotune)",10,2.960850511944184,3.0017323017136897,0.018524061250245378,0.016916102608671293,924203.1604680578,897535.4148118893,321.8337831,258.6344924
lkh_v21_minsum,full modular architecture (baseline reference),10,0.0,0.0,0.016916102608671293,0.016916102608671293,897535.4148118893,897535.4148118893,258.6344924,258.6344924
lkh_v21_minsum_cap,full + capacity-aware repair (FILO2-inspired),10,0.046248735240098815,0.12374952421489793,0.01644668724177605,0.016916102608671293,899035.8822971195,897535.4148118893,255.5407644,258.6344924
lkh_v21_minsum_depot2m_plus,full + depot-2m seeding + post-rebalance,10,-4.999341488943638,-6.035329425444398,0.6596651748924753,0.016916102608671293,3826125.6001189896,897535.4148118893,346.2119078,258.6344924
