solver_a,solver_b,n_pairs,mean_rel_diff_pct,ci95_rel_lo,ci95_rel_hi,wilcoxon_p_two_sided,wins_a,wins_b,ties
lkh_v21_minsum,lkh3-baseline,60,-3.48240342719824,-5.2368077174432255,-1.8721527476386435,0.04604348917027672,39,21,0
lkh_v21_minsum_cap,lkh3-baseline,60,-1.002972119466771,-2.806410568826438,0.5766438317581112,0.15970447587177605,23,37,0
lkh_v21_minsum_depot2m_plus,lkh3-baseline,60,1.1789513026458522,0.8873238538551724,1.494174521726403,9.890080938786429e-11,2,58,0
lkh-wrapper-v21,lkh3-baseline,60,-0.36361732387983914,-2.7716824722725577,1.9471471152022828,0.218926479217181,32,28,0
