instance,base,n,m,n_seeds,makespan_mean,makespan_std,makespan_cv_pct,makespan_min,makespan_max,makespan_bca_lo,makespan_bca_hi,sum_mean,sum_std,sum_cv_pct,sum_bca_lo,sum_bca_hi,time_s_mean
berlin52_m2.txt,berlin52,52,2,5,4163.4273252185885,35.782811570500044,0.8594556545699131,4127.485423510849,4210.033813844745,4137.455057269075,4191.654242899575,8322.690500949806,72.60509887525582,0.8723753318349391,8272.701067336366,8385.460518693068,0.6959999561309814
berlin52_m3.txt,berlin52,52,3,5,3119.044552153993,45.229895111166115,1.4501202004290263,3069.5856949319477,3156.417511600534,3085.631941876112,3152.4571624318746,9314.615292007325,160.5350455324551,1.7234747812956572,9196.240130057977,9432.990453956672,0.28660001754760744
berlin52_m5.txt,berlin52,52,5,5,2440.9219569662596,9.094947017729282e-13,3.726029417602965e-14,2440.9219569662587,2440.9219569662605,2440.921956966259,2440.9219569662605,11917.629362055583,130.91826478746194,1.0985260642883496,11826.977469686824,12033.653308638748,0.23179998397827148
berlin52_m7.txt,berlin52,52,7,5,2440.921956966259,6.01574199905506e-13,2.46453680417207e-14,2440.9219569662587,2440.92195696626,2440.9219569662587,2440.9219569662596,13957.646631450634,180.96512958879396,1.2965303848646443,13794.532501879821,14076.638029093301,0.23299999237060548
eil51_m2.txt,eil51,51,2,5,225.7730875143174,1.8154748476197102,0.8041148161667329,223.06096129062735,227.47721097723274,224.06910045524347,226.9267645057677,448.84535811905096,3.78968276774649,0.8443181374600116,446.23138072540013,452.4258906323642,0.571999979019165
eil51_m3.txt,eil51,51,3,5,159.5715086178399,2.0097183471152322e-14,1.2594468552204614e-14,159.5715086178399,159.57150861783992,159.5715086178399,159.57150861783992,475.35706229210945,1.754975949199973,0.3691910962125416,473.95454937811303,476.759575206106,0.5634000301361084
eil51_m5.txt,eil51,51,5,5,119.46032400414981,1.1060302743237438,0.9258557462855387,118.13375254600861,120.8384211976406,118.57055411641095,120.2769135715999,584.0897313251965,3.6411072389502084,0.6233814846717436,580.9930284639152,586.8852264872282,0.662000036239624
eil51_m7.txt,eil51,51,7,5,112.07140580897517,1.5888218580782548e-14,1.4176870956596986e-14,112.07140580897516,112.07140580897516,112.07140580897517,112.07140580897517,703.4546987087076,18.283476951465563,2.5990979923835202,687.4940815209477,716.1797944940233,0.5533999919891357
eil76_m2.txt,eil76,76,2,5,283.461628172751,2.2843630186572157,0.8058808641517605,280.85394089133194,286.5262610880395,281.74467896206335,285.3388850948521,565.6535683812026,4.519102031620535,0.7989169138547789,562.2035306418682,569.2259970083793,0.6165999889373779
eil76_m3.txt,eil76,76,3,5,197.48467581135543,1.4797483138008765,0.7492977911938777,196.70565941235458,200.11652010264928,196.76423955525672,199.43434796459036,588.4647721835256,3.9055609903665625,0.6636864558391149,585.809835193736,592.1733567612874,0.4463999271392822
eil76_m5.txt,eil76,76,5,5,143.88430538351886,0.8557600810415309,0.5947556814904382,143.0150622901302,145.1033107601031,143.2777871518662,144.68432064876052,712.3215820505599,6.959682806688677,0.9770422491838364,708.2022626961198,719.3179468677581,0.5680000305175781
eil76_m7.txt,eil76,76,7,5,127.56174975281574,1.4210854715202004e-14,1.1140372990131643e-14,127.56174975281573,127.56174975281576,127.56174975281573,127.56174975281576,873.9092677114138,5.488110972001266,0.6279955110641502,869.5685706076035,878.4602425113923,0.48459997177124026
rat99_m2.txt,rat99,99,2,5,676.5799362995551,7.7666980064117,1.147935016945729,665.9908970185236,684.5157172460663,669.6653720254453,681.9674520921906,1352.2433091262685,14.769621044663134,1.0922310315742143,1339.8559367468722,1363.0722914793905,2.5294000148773192
rat99_m3.txt,rat99,99,3,5,518.8090622703239,1.0582494202793755,0.20397666448778756,517.7230176567439,520.5818731640428,518.2372911688641,519.7811799692034,1552.159167796799,3.850251704343807,0.24805778841670076,1549.0134592903364,1554.97632596038,2.2660000324249268
rat99_m5.txt,rat99,99,5,5,450.88305138839485,1.1399488145131027,0.252825829447987,450.3334859010244,452.9206622135117,450.35622747122454,452.4129402561027,2248.823301006237,1.8420354154638823,0.08191107832436913,2246.906955134674,2249.87538935019,2.6799999713897704
rat99_m7.txt,rat99,99,7,5,437.9212154175451,0.13821028739674715,0.03156053703974302,437.7571146738281,438.1390894385753,437.83615792611124,438.04995119677596,2962.8676366228033,16.53741896148766,0.558155847297238,2948.5655830468304,2974.2236269303407,3.065399980545044
