instance,base,m,n_seeds,makespan_mean,makespan_std,makespan_cv_pct,makespan_min,makespan_max,makespan_bca_lo,makespan_bca_hi,sum_mean,sum_std,sum_cv_pct,sum_bca_lo,sum_bca_hi
berlin52_m2.txt,berlin52,2,5,4110.213095823169,0.0,0.0,4110.213095823169,4110.213095823169,4110.213095823169,4110.213095823169,8217.94037994531,0.0,0.0,8217.94037994531,8217.94037994531
berlin52_m3.txt,berlin52,3,5,3069.5856949319477,2.2737367544323206e-13,7.40730828328521e-15,3069.5856949319477,3069.585694931948,nan,nan,9138.966359078717,1.5752910326854155e-12,1.7237080986959864e-14,9138.966359078717,9138.966359078719
berlin52_m5.txt,berlin52,5,5,2440.921956966261,0.0,0.0,2440.921956966261,2440.921956966261,2440.921956966261,2440.921956966261,12028.506929568863,70.5805309867816,0.5867771569659926,11977.70289175949,12085.762339257237
berlin52_m7.txt,berlin52,7,5,2440.921956966261,0.0,0.0,2440.921956966261,2440.921956966261,2440.921956966261,2440.921956966261,15881.776613848682,410.025370807794,2.5817349077322858,15640.906907549279,16322.390692833123
eil51_m2.txt,eil51,2,5,222.73337033830654,2.842170943040401e-14,1.2760418157025451e-14,222.73337033830651,222.73337033830654,222.73337033830654,222.73337033830654,444.3314290961178,2.842170943040401e-14,6.3965111556976584e-15,444.3314290961178,444.33142909611774
eil51_m3.txt,eil51,3,5,159.57150861783992,0.0,0.0,159.57150861783992,159.57150861783992,159.57150861783992,159.57150861783992,473.63980071694476,0.0,0.0,473.63980071694476,473.63980071694476
eil51_m5.txt,eil51,5,5,118.13375254600862,7.105427357601002e-15,6.014730933764004e-15,118.13375254600862,118.13375254600864,nan,nan,585.8858650960914,2.532291590814206,0.4322158532360025,584.5040999962615,589.0033296152626
eil51_m7.txt,eil51,7,5,112.07140580897519,1.5888218580782548e-14,1.4176870956596983e-14,112.0714058089752,112.0714058089752,112.07140580897519,112.07140580897519,758.9933852685738,5.546073385875705,0.7307143241983852,755.2895669663083,764.3147304133479
eil76_m2.txt,eil76,2,5,280.85394089133206,4.9227844771419234e-14,1.7527916686939586e-14,280.853940891332,280.85394089133206,280.853940891332,280.85394089133206,561.4510606745173,0.21380715656891122,0.03808117421882633,561.173951255874,561.5681626665266
eil76_m3.txt,eil76,3,5,195.7222489851959,2.0097183471152322e-14,1.026821609467222e-14,195.72224898519588,195.7222489851959,nan,nan,584.9074647922782,8.038873388460929e-14,1.3743837910011667e-14,584.9074647922782,584.9074647922783
eil76_m5.txt,eil76,5,5,142.88423798877685,0.0,0.0,142.88423798877685,142.88423798877685,142.88423798877685,142.88423798877685,710.7892715310959,1.1401650523740272,0.16040830919099583,710.0891285059477,711.8957429575235
eil76_m7.txt,eil76,7,5,127.56174975281579,0.0,0.0,127.56174975281579,127.56174975281579,127.56174975281579,127.56174975281579,882.1162938154403,5.203809462714239,0.589923290069393,878.9470321109511,887.8260972578424
rat99_m2.txt,rat99,2,5,665.9908970185238,9.845568954283847e-14,1.4783338628741052e-14,665.9908970185238,665.9908970185239,nan,nan,1331.7559479812744,0.0,0.0,1331.7559479812744,1331.7559479812744
rat99_m3.txt,rat99,3,5,517.7230176567439,0.0,0.0,517.7230176567439,517.7230176567439,517.7230176567439,517.7230176567439,1547.9426139987584,1.283877152350205,0.082940875245601,1547.161800027754,1549.255000871118
rat99_m5.txt,rat99,5,5,450.2725847527512,6.355287432313019e-14,1.4114311302791764e-14,450.27258475275124,450.27258475275124,450.2725847527512,450.2725847527512,2248.8847918901665,0.6818112341665478,0.030317748451377618,2248.2709148259646,2249.3853968025132
rat99_m7.txt,rat99,7,5,437.5591871474132,0.17216544959208283,0.03934677973841296,437.28739535229766,437.70375183994355,437.3926445523548,437.6656959703224,3054.7603115741426,4.40639509293215,0.14424683587241902,3050.103639557532,3057.3562593366755
