instance,n,m,mode,time_seconds,n_routes,valid,sum,makespan,min_route,range,std,gini,balance_ratio,n_nonempty
clustered-center_n100_m3_r01.txt,100,3,minsum_default,0.4599723815917969,3,True,0.5244914511269696,0.4921289658402485,0.01607843935212619,0.47605052648812235,0.2243639240766619,0.6050947388690985,2.81489220529419,3
clustered-center_n100_m3_r01.txt,100,3,minsum_balanced,5.475944519042969,3,True,0.5702795680363252,0.22344381855911424,0.1528604462216905,0.07058337233742372,0.028945998214364256,0.08251318159672377,1.1754435775869223,3
clustered-center_n100_m3_r01.txt,100,3,minmax_balanced,5.652559041976929,3,True,0.5751161774809739,0.19386165445486137,0.1880636778470673,0.005797976607794084,0.002589602343542986,0.006720933769346564,1.0112477898151704,3
clustered-center_n100_m3_r02.txt,100,3,minsum_default,0.3736395835876465,3,True,0.5490805385090733,0.28537733845945185,0.026993477730740817,0.258383860728711,0.11210692296495461,0.3137170143021333,1.559210271234569,3
clustered-center_n100_m3_r02.txt,100,3,minsum_balanced,5.314899921417236,3,True,0.5669682169710449,0.24083196713812083,0.14144235025677024,0.0993896168813506,0.04068916739807987,0.11686677066582543,1.2743146437276576,3
clustered-center_n100_m3_r02.txt,100,3,minmax_balanced,5.832146644592285,3,True,0.5734478770228354,0.19208325606377302,0.19002251605387377,0.002060740009899263,0.0008522694647420328,0.0023957306815724205,1.0048860433192817,3
clustered-center_n100_m3_r03.txt,100,3,minsum_default,0.3393361568450928,3,True,0.4924969032547724,0.45983652744525927,0.009093934901900282,0.45074259254335897,0.20915436260500664,0.6101460937311199,2.8010522974235776,3
clustered-center_n100_m3_r03.txt,100,3,minsum_balanced,0.9674258232116699,3,True,0.510173921781845,0.2011378147507643,0.13200224732345392,0.06913556742731038,0.028652270505602866,0.09034248188127157,1.1827602676059912,3
clustered-center_n100_m3_r03.txt,100,3,minmax_balanced,5.3077898025512695,3,True,0.5322990465196696,0.17764325307671225,0.17703385970762664,0.000609393369085609,0.00028237993607168986,0.0007632218180989366,1.0011848841634996,3
clustered-center_n100_m5_r01.txt,100,5,minsum_default,0.37853574752807617,5,True,0.5167512557019518,0.30125642195332275,0.008802924286849225,0.2924534976664735,0.10860497781071499,0.5410569141600302,2.91490749784534,5
clustered-center_n100_m5_r01.txt,100,5,minsum_balanced,7.158312797546387,5,True,0.6123880796092517,0.14735720540292688,0.08626074410615699,0.06109646129676988,0.022266014974237722,0.10009311599428532,1.203135808072485,5
clustered-center_n100_m5_r01.txt,100,5,minmax_balanced,6.419073581695557,5,True,0.664647542859591,0.13562597194143686,0.12429310143102174,0.01133287051041512,0.00433035793394353,0.01395216196814322,1.0202849118941848,5
clustered-center_n100_m5_r02.txt,100,5,minsum_default,0.39066123962402344,5,True,0.7061461306712474,0.2841139529219198,0.03579080423796034,0.24832314868395947,0.0938127749773569,0.3603521517571196,2.0117220825939186,5
clustered-center_n100_m5_r02.txt,100,5,minsum_balanced,5.777207374572754,5,True,0.7646044581291821,0.17742663779765797,0.10983750848576251,0.06758912931189547,0.02393161587105694,0.08247759987603583,1.1602511331923286,5
clustered-center_n100_m5_r02.txt,100,5,minmax_balanced,5.94291090965271,5,True,0.7738757422708793,0.16254888942080475,0.13696691396523122,0.02558197545557354,0.009263721526771821,0.029325990209286418,1.0502260281722842,5
clustered-center_n100_m5_r03.txt,100,5,minsum_default,0.3876824378967285,5,True,0.6515215814722347,0.5123753953045302,0.027860466973832303,0.4845149283306979,0.19108014227584916,0.5987927323884765,3.932144459027146,5
clustered-center_n100_m5_r03.txt,100,5,minsum_balanced,5.40714693069458,5,True,0.6752160020764074,0.18452252654721332,0.08363805881106066,0.10088446773615266,0.03236203526216613,0.12837597523618352,1.366396278966836,5
clustered-center_n100_m5_r03.txt,100,5,minmax_balanced,5.342527151107788,5,True,0.7124468650695026,0.14397041057791424,0.13976923376991085,0.004201176808003396,0.0016098431793548811,0.006007398313742739,1.0103940212009301,5
clustered-center_n100_m7_r01.txt,100,7,minsum_default,0.38002538681030273,7,True,0.6099418732778816,0.2596736565462156,0.01370305849071659,0.24597059805549903,0.10361281563262766,0.5621386309449095,2.980145609703667,7
clustered-center_n100_m7_r01.txt,100,7,minsum_balanced,5.394535779953003,7,True,0.7753855762614457,0.15663245514572696,0.07724842771168139,0.07938402743404557,0.03215080196205005,0.15769813774290836,1.4140412455265918,7
clustered-center_n100_m7_r01.txt,100,7,minmax_balanced,7.22199559211731,7,True,0.7300152666544008,0.13290884510565332,0.01412998018399177,0.11877886492166154,0.03907457902683167,0.1753876706774446,1.2744417250386344,7
clustered-center_n100_m7_r02.txt,100,7,minsum_default,0.3475010395050049,7,True,0.7895001534305952,0.5272522624911681,0.030488750581156975,0.49676351191001106,0.16978731759747173,0.5726625838423817,4.674813325115624,7
clustered-center_n100_m7_r02.txt,100,7,minsum_balanced,5.28263258934021,7,True,0.9034363266822392,0.1573374003979813,0.09097426912017648,0.06636313127780483,0.025115272400933947,0.10746237054809461,1.219080714664737,7
clustered-center_n100_m7_r02.txt,100,7,minmax_balanced,8.83543848991394,7,True,0.9748872715957522,0.1448154945519456,0.12202943935712894,0.022786055194816655,0.007208057441908935,0.022610235812569948,1.0398212094864283,7
clustered-center_n100_m7_r03.txt,100,7,minsum_default,0.44162559509277344,7,True,0.6282304993621486,0.3032548382145328,0.018274905307552207,0.2849799329069806,0.10443798686409345,0.5502755699091666,3.3789888737605422,7
clustered-center_n100_m7_r03.txt,100,7,minsum_balanced,8.914257287979126,7,True,0.7898490303738367,0.13327711140032977,0.08273935987060531,0.05053775152972446,0.01687449968067757,0.08236893265202938,1.1811621511527925,7
clustered-center_n100_m7_r03.txt,100,7,minmax_balanced,5.7051167488098145,7,True,0.7463306835066319,0.12010833198015053,0.03563054057758996,0.08447779140256056,0.029013028246690307,0.10065746441885515,1.1265225220417763,7
clustered-center_n200_m3_r01.txt,200,3,minsum_default,1.034217357635498,3,True,0.7010163494521731,0.350002299577047,0.01521632978086372,0.3347859697961833,0.15458037947435677,0.3183815137909506,1.4978351069154028,3
clustered-center_n200_m3_r01.txt,200,3,minsum_balanced,10.368257522583008,3,True,0.7238776493765877,0.3002030014198814,0.19335488263250483,0.10684811878737656,0.044305241385462345,0.09840347916934625,1.2441453400795834,3
clustered-center_n200_m3_r01.txt,200,3,minmax_balanced,11.469813346862793,3,True,0.7413949951193947,0.25116019685922913,0.23924432362571782,0.01191587323351132,0.005577622991029867,0.010714822114125888,1.016301155980081,3
clustered-center_n200_m3_r02.txt,200,3,minsum_default,0.5696268081665039,3,True,0.689421589162066,0.6591894796367267,0.013190773896932666,0.645998705739794,0.3036231936493483,0.6246769909685704,2.8684457667096677,3
clustered-center_n200_m3_r02.txt,200,3,minsum_balanced,10.5686354637146,3,True,0.7036788609209478,0.2584182412313016,0.20624622687036523,0.052172014360936346,0.02153080768297191,0.04942786381527849,1.101716659044271,3
clustered-center_n200_m3_r02.txt,200,3,minmax_balanced,11.299370765686035,3,True,0.7094129803722645,0.2379416755541549,0.23409914504031817,0.003842530513836721,0.0016931894440509578,0.003610995400563766,1.0062192917415818,3
clustered-center_n200_m3_r03.txt,200,3,minsum_default,0.5048596858978271,3,True,0.6273136696876592,0.610769965566076,0.005692384386177728,0.6050775811798982,0.2840281432604404,0.6430356512409149,2.920883100810698,3
clustered-center_n200_m3_r03.txt,200,3,minsum_balanced,10.63956093788147,3,True,0.6485234576138746,0.24728470601833438,0.18404423506452797,0.06324047095380644,0.025827887234858973,0.06500969775916138,1.1439125437104805,3
clustered-center_n200_m3_r03.txt,200,3,minmax_balanced,11.958084106445312,3,True,0.6780182243144728,0.2267385159541144,0.22558060675620503,0.0011579091979093618,0.0005201684481971301,0.0011385231806319018,1.0032408030773687,3
