solver,metric,n_cells,mean_delta_pct,median_delta_pct,bca_lo_pct,bca_hi_pct,wilcoxon_p,cliffs_delta,cohen_d,alns_better_count,alns_better_total,holm_p_adj
lkh_v21_minsum,sum,16,-25.285399249579903,-22.390099708847913,-34.74536970663255,-17.27749639646299,3.0517578125e-05,0.3125,-1.360611340783388,16,16,9.1552734375e-05
lkh_v21_minsum,makespan,16,181.38996580237574,174.45569270491194,147.4611614070684,218.92044606967988,0.00043680902321148305,-0.46875,2.3685924827296403,0,16,0.0008736180464229661
lkh_v21_minsum_cap,sum,16,-23.933841838925943,-20.191382762889873,-33.57607511338376,-15.849820056034163,3.0517578125e-05,0.3046875,-1.2779855533533513,16,16,9.1552734375e-05
lkh_v21_minsum_cap,makespan,16,179.29616929090116,176.3418094232955,140.21288250011796,220.19068948083844,3.0517578125e-05,-0.421875,2.0847633068155353,0,16,9.1552734375e-05
lkh_v21_minmax,sum,16,-8.871269152426088,-2.0240685528596765,-15.376651027305474,-4.0404755709507265,0.03546470751403722,0.046875,-0.755853594703872,9,16,0.03546470751403722
lkh_v21_minmax,makespan,16,14.653818391729773,12.220026284335564,8.420836771704467,25.32170991416344,0.0009815397525216685,-0.1484375,0.8697415294709303,0,16,0.0009815397525216685
