base,n,m,hga_sum,hga_makespan,hga_time_s,hehao_sum,hehao_makespan,hehao_time_s,delta_sum_hehao_vs_hga_pct,delta_makespan_hehao_vs_hga_pct,alns_minsum_mean_sum,alns_minsum_mean_makespan,alns_minmax_mean_sum,alns_minmax_mean_makespan
berlin52,52,2,8217.940379945308,4110.213095823168,1.0310001373291016,8217.94037994531,4110.213095823169,40.00943636894226,2.2134370894011793e-14,2.212767758190358e-14,7544.365901904088,7544.365901904088,8217.94037994531,4110.213095823169
berlin52,52,3,9138.966359078719,3069.5856949319477,0.2980000972747803,9138.966359078719,3069.5856949319477,30.210844039916992,0.0,0.0,7544.365901904088,7544.365901904088,8805.125322152722,3485.5007306610123
berlin52,52,5,11875.953511172955,2440.9219569662596,0.23799991607666016,11980.891863304329,2440.921956966261,0.7786591053009033,0.8836204354677492,5.589044126404448e-14,7544.365901904088,7544.365901904088,10212.805588652569,2859.6930076259114
berlin52,52,7,13863.945622161293,2440.9219569662578,0.22799992561340332,15635.096711220642,2440.921956966261,0.4861030578613281,12.775231072950781,1.3041102961610388e-13,7544.365901904088,7544.365901904088,10669.74333824064,3306.5828698523774
eil51,51,2,444.8044865082716,223.06096129062732,0.6679999828338623,444.3314290961178,222.73337033830651,30.195780277252197,-0.10635176274127445,-0.14686162492323535,428.87175639203394,428.87175639203394,444.4260405785486,222.7988885287707
eil51,51,3,476.80127072639425,159.5715086178399,0.6059999465942383,473.63980071694476,159.57150861783992,30.220558404922485,-0.6630582180775381,1.7811268237409205e-14,428.87175639203394,428.87175639203394,473.63980071694476,159.57150861783992
eil51,51,5,585.7712050188854,119.8779333330709,0.6150000095367432,584.0034372419623,118.13375254600864,30.19899010658264,-0.3017846834697468,-1.454964010946202,428.87175639203394,428.87175639203394,538.9082013142861,138.07763999009757
eil51,51,7,685.6444510216975,112.07140580897516,0.5800001621246338,759.1776984222464,112.0714058089752,0.29782772064208984,10.724690805996467,3.8040536600631997e-14,428.87175639203394,428.87175639203394,613.415835477878,182.403508578212
eil76,76,2,567.518529952609,284.4898261770479,0.3989999294281006,561.4754169697953,280.853940891332,30.199143886566162,-1.0648309550911608,-1.2780370161473462,544.3690526708284,544.3690526708284,565.6131508784778,282.9399208772072
eil76,76,3,591.3434310066224,197.17485955439406,0.39300012588500977,584.9074647922782,195.72224898519588,30.248834371566772,-1.0883635256399884,-0.736711856917772,544.3690526708285,544.3690526708285,590.3832009706957,197.53230419954835
eil76,76,5,722.3839980617308,144.82432819767286,0.500999927520752,712.5875980181005,142.88423798877685,30.299649953842163,-1.3561208539939442,-1.339616232328005,544.3690526708285,544.3690526708285,709.7714786311117,168.96167662570573
eil76,76,7,866.9560535161561,127.56174975281579,0.39100003242492676,878.9840893397707,127.56174975281579,30.256767511367798,1.3873870278466687,0.0,544.3690526708285,544.3690526708285,733.4889463680765,166.59952001535845
rat99,99,2,1363.285416642354,684.4618338777938,1.810999870300293,1331.7559479812744,665.9908970185238,30.217341661453247,-2.3127562487049675,-2.6986072772857956,1219.2437686776964,1219.2437686776964,1353.4908319559481,677.1232381499404
rat99,99,3,1563.721349059414,521.5641374213253,3.133000135421753,1546.7431384088782,517.7230176567439,30.1859872341156,-1.0857567852960717,-0.7364616331890427,1219.2437686776966,1219.2437686776966,1563.8985496423418,569.0991858809418
rat99,99,5,2245.3228422117772,450.34576547202283,3.2699999809265137,2249.248934761255,450.2744242747474,30.341070652008057,0.17485648280361804,-0.01584142735319586,1219.2437686776964,1219.2437686776964,1614.5012349516874,520.587169970681
rat99,99,7,2999.8497817180823,437.8929461673282,3.0160000324249268,3053.72614462628,437.51347249183834,30.420202493667603,1.795968692717057,-0.0866590062277133,1219.2437686776966,1219.2437686776966,2317.2383992911828,485.1608902760495
