instance,n,m,mode,time_seconds,valid,n_routes,sum,makespan,min_route,range,std,gini,balance_ratio,n_nonempty
eil51_m2.txt,51,2,minsum_default,0.3047487735748291,True,2,0.4351839034630076,0.42104176783927666,0.01414213562373095,0.4068996322155457,0.20344981610777285,0.46750308200465623,1.9350061640093126,2
eil51_m2.txt,51,2,minsum_balanced,0.47055840492248535,True,2,0.442318632089427,0.22825178482922742,0.2140668472601996,0.014184937569027853,0.007092468784513926,0.01603475022295689,1.0320695004459137,2
eil51_m2.txt,51,2,minmax_balanced,1.4296841621398926,True,2,0.44433142909611784,0.22273337033830654,0.2215980587578113,0.0011353115804952551,0.0005676557902476276,0.0012775503893622437,1.0025551007787243,2
eil51_m3.txt,51,3,minsum_default,0.21495842933654785,True,3,0.44599256662944653,0.41572591550911847,0.01414213562373095,0.4015837798853875,0.18884289207609203,0.600284713144175,2.7964092674297296,3
eil51_m3.txt,51,3,minsum_balanced,1.6566812992095947,True,3,0.4641096398985272,0.17842496758620283,0.13664475124815811,0.04178021633804471,0.017520488549516825,0.06001486537703967,1.1533371788520506,3
eil51_m3.txt,51,3,minmax_balanced,9.621055841445923,True,3,0.4736398007169448,0.15957150861783992,0.1550747541074338,0.004496754510406134,0.0019975462253844674,0.006329359010228777,1.010714313131822,3
eil51_m5.txt,51,5,minsum_default,0.3164951801300049,True,5,0.47169296336159516,0.40452215342696474,0.01216552506059644,0.3923566283663683,0.15515110201105253,0.6744300353304484,4.287981641109007,5
eil51_m5.txt,51,5,minsum_balanced,10.753813982009888,True,5,0.5351547659553675,0.15020277322701717,0.07314152312191936,0.0770612501050978,0.02835659256540658,0.14450039160492822,1.4033582692557414,5
eil51_m5.txt,51,5,minmax_balanced,10.801885604858398,True,5,0.5692625360080783,0.11854324727296407,0.10552479055930782,0.01301845671365625,0.005540781080640756,0.024893179375237034,1.0412001473366046,5
eil51_m7.txt,51,7,minsum_default,0.3461110591888428,True,7,0.5087018649882067,0.32202399183049185,0.01216552506059644,0.3098584667698954,0.10525091092991624,0.6175057291779781,4.431216195493409,7
eil51_m7.txt,51,7,minsum_balanced,10.305645942687988,True,7,0.6254860532169088,0.13525790300284177,0.06292797331093795,0.07232992969190383,0.026289432861531212,0.1559369252880719,1.5137113228191437,7
eil51_m7.txt,51,7,minmax_balanced,10.523061990737915,True,7,0.6388840291017743,0.11348850280752816,0.01414213562373095,0.09934636718379722,0.033533113053788324,0.1700165068837661,1.2434487065979638,7
berlin52_m2.txt,52,2,minsum_default,0.4324171543121338,True,2,7.63243337078449,7.540237926211561,0.09219544457292887,7.448042481638632,3.724021240819316,0.48792057000774675,1.9758411400154934,2
berlin52_m2.txt,52,2,minsum_balanced,0.41121840476989746,True,2,7.780359790738637,4.904820853714856,2.8755389370237823,2.0292819166910734,1.0146409583455367,0.1304105447094254,1.260821089418851,2
berlin52_m2.txt,52,2,minmax_balanced,4.557381629943848,True,2,8.230660106447218,4.1278983520633625,4.102761754383855,0.02513659767950776,0.01256829883975388,0.0015270098239032995,1.0030540196478066,2
berlin52_m3.txt,52,3,minsum_default,0.4749724864959717,True,3,7.737018464540192,7.516760535218607,0.09219544457292887,7.424565090645678,3.4915503100870993,0.6397438603921712,2.914595810906595,3
berlin52_m3.txt,52,3,minsum_balanced,2.0205976963043213,True,3,8.308633962352872,4.678790494680879,1.0910108704587742,3.5877796242221045,1.4737620110670564,0.2878756115207899,1.6893717484297215,3
berlin52_m3.txt,52,3,minmax_balanced,3.4142205715179443,True,3,9.433749091761952,3.202204730133118,3.066003161012971,0.1362015691201468,0.057545057858496555,0.009625128376521075,1.018324114512263,3
berlin52_m5.txt,52,5,minsum_default,0.3906266689300537,True,5,8.125980112382509,4.949453550115213,0.09219544457292887,4.857258105542284,1.9519220310142942,0.6084983957901661,3.045450199030853,5
berlin52_m5.txt,52,5,minsum_balanced,10.082862138748169,True,5,9.402692313420605,3.619993743346128,0.6124776875904359,3.007516055755692,1.070238453048562,0.31316779383478355,1.9249772419859235,5
berlin52_m5.txt,52,5,minmax_balanced,10.302714109420776,True,5,11.694480526569693,2.441392614907665,2.0693290558182293,0.37206355908943534,0.13915173157298277,0.028628082914885743,1.0438226004827045,5
berlin52_m7.txt,52,7,minsum_default,0.3626413345336914,True,7,8.585407021176145,4.903147785818553,0.09219544457292887,4.810952341245624,1.735212883048546,0.6558884946527725,3.997717803718987,7
berlin52_m7.txt,52,7,minsum_balanced,10.5566725730896,True,7,11.036901354730892,3.428342835985012,0.4709888864181773,2.957353949566835,0.8789713995187245,0.29020260602677955,2.1743783948570257,7
berlin52_m7.txt,52,7,minmax_balanced,8.389272212982178,True,7,10.690355435380672,2.693447412617855,0.09219544457292887,2.601251968044926,1.2109446431246473,0.40814732715472274,1.7636580937174058,7
eil76_m2.txt,76,2,minsum_default,0.31975769996643066,True,2,0.5524569457543541,0.5390405378893554,0.01341640786499874,0.5256241300243566,0.2628120650121783,0.47571501640425706,1.9514300328085141,2
eil76_m2.txt,76,2,minsum_balanced,0.5466165542602539,True,2,0.5557193713019891,0.3511490412663015,0.2045703300356876,0.1465787112306139,0.07328935561530694,0.1318819522947312,1.2637639045894624,2
eil76_m2.txt,76,2,minmax_balanced,5.517127752304077,True,2,0.5610753984032111,0.28085394089133203,0.28022145751187905,0.0006324833794529922,0.0003162416897264961,0.0005636349243372676,1.0011272698486746,2
eil76_m3.txt,76,3,minsum_default,0.3927583694458008,True,3,0.5610883218127238,0.536901584333456,0.010770329614269008,0.5261312547191871,0.24739932383467894,0.625131830724261,2.870679517614302,3
eil76_m3.txt,76,3,minsum_balanced,10.343867778778076,True,3,0.5775469640690317,0.20322338797585227,0.18338088847866585,0.019842499497186424,0.00817666866307718,0.022904341674529444,1.0556200653055212,3
eil76_m3.txt,76,3,minmax_balanced,10.353849649429321,True,3,0.5872940785240776,0.19610762878728769,0.1955716731473176,0.0005359556399700978,0.00024312997064507386,0.0006083898561994723,1.0017517762827968,3
