table,comparison,n_pairs,mean,perc_lo,perc_hi,bca_lo,bca_hi
1а,lkh_v21_minsum vs lkh3-baseline (default-MINSUM),60,-3.4824034271982396,-5.1893055988052765,-1.8801606416853645,-5.322475626344394,-1.9745438548399181
1а,lkh_v21_minsum_cap vs lkh3-baseline (default-MINSUM),60,-1.0029721194667707,-2.7488145725781843,0.5742268722997753,-2.9357243773856077,0.453632749025858
1а,lkh_v21_minsum_depot2m_plus vs lkh3-baseline (default-MINSUM),60,1.1789513026458522,0.889376794982162,1.4889571478835317,0.9052694729164494,1.5111521365900882
1а,lkh-wrapper-v21 vs lkh3-baseline (default-MINSUM),60,-0.3636173238798394,-2.7231952528915384,1.9571741076681157,-2.754184857202527,1.9142278199691358
4б,lkh_v21_minsum vs LKH-3 (minsum_default),48,-5.211986188801838,-7.1083909884521015,-3.48159257093966,-7.2970683641878775,-3.617015800399935
4б,lkh_v21_minsum vs LKH-3 (minsum_balanced),48,-13.382030949918915,-16.564541094510155,-10.387643828145972,-16.705646328854243,-10.562089014028118
4б,lkh_v21_minsum vs LKH-3 (minmax_balanced),48,-14.456388401902771,-17.204009812474105,-11.807306292757167,-17.333706015534624,-11.961629497049131
