instance,n,m,n_seeds,mean_obj,std_obj,cv_obj_pct,ci95_obj_lo,ci95_obj_hi,mean_time,mean_makespan,mean_gini,std_gini,mean_std_route,mean_range,mean_balance_ratio
uniform_n100000_m5_r01,100000,5,10,13009235.046201525,34110.54480418818,0.2622025406032454,12988568.82949514,13030444.267234195,370.873357,2655104.8968281504,0.008989920097061673,0.0011607492357221503,42617.809862701106,113649.16770759081,1.0204675695955032
uniform_n10000_m5_r01,10000,5,10,410131.0853905787,2313.6404008198815,0.5641221753812053,408779.74297743064,411644.16970132483,32.5822383,90443.34711462437,0.04151094608119309,0.005662825422954453,6262.839204031508,18785.606712088753,1.102600243952503
uniform_n50000_m5_r01,50000,5,10,4557677.513260938,7331.302252031702,0.16085609898244607,4553183.981357145,4562168.442902464,139.0617242,946379.3448620343,0.01526660880785131,0.0010200294644282825,24773.950317158447,68520.67322911933,1.038220763173478
