base,m,v21_sum,v21_gini,v21cap_sum,v21cap_gini,v21_2opt_sum,filo2_sum,filo2_gini,lkh3_default_sum,lkh3_default_gini,lkh3_balanced_sum,lkh3_balanced_gini,lkh3_minmax_sum,lkh3_minmax_gini,v21_vs_filo2_pct,v21_vs_lkh3_balanced_pct,v21_vs_lkh3_minmax_pct,v21_vs_lkh3_default_pct
berlin52,2,7544.365901904088,0.5,7596.944142052844,0.5,9661.431209664974,7882.959749576052,0.11971617518158043,7632.43337078449,0.48792057000774675,7780.3597907386375,0.1304105447094254,8230.660106447218,0.0015270098239032995,-4.295262926975792,-3.0332002013000126,-8.338264436476292,-1.1538583385150478
berlin52,3,7544.365901904088,0.6666666666666666,7555.18118970418,0.6666666666666666,11514.58918142931,8499.002108777528,0.1155989869111544,7737.018464540192,0.6397438603921712,8308.633962352871,0.2878756115207899,9433.74909176195,0.009625128376521075,-11.232332862790074,-9.198480326751028,-20.027914368718715,-2.49001037698252
berlin52,5,7544.365901904088,0.8,7576.4246537241315,0.8,14308.970758243047,9523.796804658039,0.26171909174446073,8125.980112382509,0.6084983957901661,9402.692313420604,0.31316779383478355,11694.480526569692,0.028628082914885743,-20.784052236244918,-19.763769243667575,-35.487806536054364,-7.157465344914486
berlin52,7,7544.365901904088,0.8571428571428573,7614.677173247813,0.8571428571428572,19361.75117855686,10747.610026881795,0.3571882519653211,8585.407021176145,0.6558884946527725,11036.901354730891,0.29020260602677955,10690.355435380672,0.40814732715472274,-29.804245939011473,-31.644166605962756,-29.42829686527218,-12.125704893248507
eil51,2,428.87175639203394,0.5,434.72406291654266,0.5,521.8842564281567,444.8044865082717,0.0014809159000677352,435.1839034630076,0.46750308200465623,442.318632089427,0.01603475022295689,444.33142909611786,0.0012775503893622437,-3.5819625474801606,-3.040088009377459,-3.479311093417989,-1.4504550882383933
eil51,3,428.87175639203394,0.6666666666666667,433.08904797037013,0.6666666666666666,666.2886330995659,464.1096398985272,0.060014865377039636,445.9925666294465,0.600284713144175,464.10963989852723,0.06001486537703967,473.63980071694476,0.006329359010228777,-7.592577373354632,-7.592577373354643,-9.451917735195773,-3.8388106705010214
eil51,5,428.87175639203394,0.8000000000000003,435.8976903134207,0.8,732.7014304573686,552.0499933572661,0.07788410711858708,471.69296336159516,0.6744300353304484,535.1547659553675,0.14450039160492822,569.2625360080783,0.024893179375237034,-22.31287717551258,-19.860237883445784,-24.661868775086948,-9.07819499031511
eil51,7,428.87175639203394,0.8571428571428571,435.0001642168542,0.8571428571428571,722.2113234537389,615.821559466766,0.18717208618020234,508.7018649882067,0.6175057291779781,625.4860532169088,0.1559369252880719,638.8840291017743,0.1700165068837661,-30.35778793399342,-31.433841860050567,-32.87173620617857,-15.692906610048198
eil76,2,544.3690526708283,0.5,555.7698177191369,0.20550556183578497,760.1345036014915,558.5947515972053,0.10112664749337082,552.4569457543541,0.47571501640425706,555.7193713019891,0.1318819522947312,561.0753984032111,0.0005636349243372676,-2.546693982659364,-2.042455098257284,-2.9775580572465206,-1.4639861342465703
eil76,3,544.3690526708285,0.6666666666666666,555.3468408055633,0.5175791603278643,821.1464214429998,588.1972977027748,0.035124844125991775,561.0883218127238,0.625131830724261,577.5469640690317,0.022904341674529444,587.2940785240776,0.0006083898561994723,-7.451282962896806,-5.744625712245548,-7.308949199883553,-2.9797927513229845
eil76,5,544.3690526708285,0.8000000000000003,,,,683.8218170495792,0.10346080848082667,581.3468395866925,0.7091268849820301,677.6558732079458,0.15104174762224928,707.4009473463047,0.027219488245470397,-20.393143491740904,-19.668806219615956,-23.046603950286304,-6.36071006116645
eil76,7,,,,,,783.4150934125327,0.1429295531510624,612.1781207591588,0.7178921124912634,819.965354175489,0.13945934408521035,868.6654445199985,0.041936647458853706,,,,
rat99,2,,,,,,1331.7559479812744,8.479258384983791e-05,1246.7731146027265,0.4772008712137161,1352.55315942483,0.13475491734564893,1350.6787996324392,0.0009772769485773577,,,,
rat99,3,,,,,,1527.1805736120007,0.07222804206350425,1276.286816381629,0.6192109378299067,1501.264774187645,0.13737382660194056,1564.9795417798146,0.0022083216627172978,,,,
rat99,5,,,,,,1950.2044405056704,0.1410579002618134,1361.96642413229,0.6954133122721528,1925.8057060411402,0.19234011828672615,1924.7444144504957,0.2060067633672825,,,,
rat99,7,,,,,,2444.1310071746075,0.17051649484221562,1470.8786245252259,0.6949550239658103,2469.5746006097143,0.1670167571160486,2612.8090828435234,0.17627607758265137,,,,
