solver,n,m,seed,budget_ms,objective,valid,wall_seconds,solver_seconds,file
filo2,5000,7,13,,132233.41035572748,True,62.908735036849976,60.21780490875244,filo2_n5000_m7_seed13.json
filo2,5000,7,42,,131988.7861150427,True,62.30008387565613,60.050957679748535,filo2_n5000_m7_seed42.json
lkh3,5000,7,7,,128180.56143277392,True,72.378013,72.378013,lkh3_n5000_m7_seed7.json
lkh3,5000,7,13,,128180.56143277392,True,72.395716,72.395716,lkh3_n5000_m7_seed13.json
lkh3,5000,7,42,,128180.56143277392,True,71.627996,71.627996,lkh3_n5000_m7_seed42.json
v19,5000,7,7,30000,152392.68025394826,True,30.14181,30.14181,v19_n5000_m7_seed7_t30000.json
v19,5000,7,13,30000,152305.5526030079,True,30.051206,30.051206,v19_n5000_m7_seed13_t30000.json
v19,5000,7,42,30000,151741.99159387528,True,29.939865,29.939865,v19_n5000_m7_seed42_t30000.json
2optgreed,10000,5,7,,435897.51829951914,True,0.714709,0.714709,2optgreed_n10000_m5_seed7.json
2optgreed,10000,5,13,,435897.51829951914,True,0.746336,0.746336,2optgreed_n10000_m5_seed13.json
2optgreed,10000,5,42,,435897.51829951914,True,0.737707,0.737707,2optgreed_n10000_m5_seed42.json
filo2,10000,5,7,,401599.28439620277,True,186.72390580177307,187.94520926475525,filo2_n10000_m5_seed7.json
filo2,10000,5,13,,401201.0617929576,True,178.0030128955841,177.14942955970764,filo2_n10000_m5_seed13.json
filo2,10000,5,42,,371985.0921705419,True,60.033727407455444,60.03710341453552,filo2_n10000_m5_seed42.json
lkh3,10000,5,7,,359831.7428680543,True,139.806707,139.806707,lkh3_n10000_m5_seed7.json
lkh3,10000,5,13,,359831.7428680543,True,139.188983,139.188983,lkh3_n10000_m5_seed13.json
lkh3,10000,5,42,,359831.7428680543,True,136.707042,136.707042,lkh3_n10000_m5_seed42.json
v19,10000,5,7,30000,434727.33489915344,True,26.816551,26.816551,v19_n10000_m5_seed7_t30000.json
v19,10000,5,13,30000,433519.8270065178,True,30.066854,30.066854,v19_n10000_m5_seed13_t30000.json
v19,10000,5,42,30000,434377.1982971749,True,21.644241,21.644241,v19_n10000_m5_seed42_t30000.json
2optgreed,10000,7,7,,468091.08823779324,True,0.551203,0.551203,2optgreed_n10000_m7_seed7.json
2optgreed,10000,7,13,,468091.08823779324,True,0.581589,0.581589,2optgreed_n10000_m7_seed13.json
2optgreed,10000,7,42,,468091.08823779324,True,0.625654,0.625654,2optgreed_n10000_m7_seed42.json
filo2,10000,7,7,,401848.02610419464,True,115.91454458236694,116.75982022285461,filo2_n10000_m7_seed7.json
filo2,10000,7,13,,402388.04757670197,True,119.34824228286743,117.90996599197388,filo2_n10000_m7_seed13.json
filo2,10000,7,42,,404920.2486386736,True,127.36335825920105,124.96748661994934,filo2_n10000_m7_seed42.json
lkh3,10000,7,7,,359709.9382703893,True,138.798198,138.798198,lkh3_n10000_m7_seed7.json
lkh3,10000,7,13,,359715.443152693,True,139.221463,139.221463,lkh3_n10000_m7_seed13.json
lkh3,10000,7,42,,359709.9382703893,True,146.161686,146.161686,lkh3_n10000_m7_seed42.json
v19,10000,7,7,30000,454305.16296958074,True,30.748935,30.748935,v19_n10000_m7_seed7_t30000.json
v19,10000,7,13,30000,448180.74552498123,True,30.436497,30.436497,v19_n10000_m7_seed13_t30000.json
v19,10000,7,42,30000,452306.2426596221,True,30.403831,30.403831,v19_n10000_m7_seed42_t30000.json
2optgreed,25000,5,7,,1673508.8890763307,True,4.449095,4.449095,2optgreed_n25000_m5_seed7.json
2optgreed,25000,5,13,,1673508.8890763307,True,4.52453,4.52453,2optgreed_n25000_m5_seed13.json
2optgreed,25000,5,42,,1673508.8890763307,True,4.602445,4.602445,2optgreed_n25000_m5_seed42.json
v19,25000,5,7,60000,1671657.6136341025,True,84.982622,84.982622,v19_n25000_m5_seed7_t60000.json
v19,25000,5,13,60000,1668556.942565313,True,88.942669,88.942669,v19_n25000_m5_seed13_t60000.json
v19,25000,5,42,60000,1672948.4818871683,True,93.800295,93.800295,v19_n25000_m5_seed42_t60000.json
2optgreed,25000,7,7,,1792420.1752956747,True,3.84826,3.84826,2optgreed_n25000_m7_seed7.json
2optgreed,25000,7,13,,1792420.1752956747,True,3.596869,3.596869,2optgreed_n25000_m7_seed13.json
2optgreed,25000,7,42,,1792420.1752956747,True,3.641199,3.641199,2optgreed_n25000_m7_seed42.json
filo2,25000,7,7,,1571364.835375331,True,689.6206343173981,689.1690559387207,filo2_n25000_m7_seed7.json
filo2,25000,7,13,,1588687.5769464793,True,674.8986325263977,670.5845854282379,filo2_n25000_m7_seed13.json
filo2,25000,7,42,,1577757.0971797435,True,582.8282141685486,577.4348776340485,filo2_n25000_m7_seed42.json
v19,25000,7,7,60000,1801991.6590730248,True,60.573643,60.573643,v19_n25000_m7_seed7_t60000.json
v19,25000,7,13,60000,1796583.3484753442,True,59.528005,59.528005,v19_n25000_m7_seed13_t60000.json
v19,25000,7,42,60000,1797877.2499545491,True,60.081413,60.081413,v19_n25000_m7_seed42_t60000.json
2optgreed,50000,5,7,,4650139.629510124,True,44.402805,44.402805,2optgreed_n50000_m5_seed7.json
2optgreed,50000,5,13,,4650139.629510124,True,49.388251,49.388251,2optgreed_n50000_m5_seed13.json
2optgreed,50000,5,42,,4650139.629510124,True,21.028304,21.028304,2optgreed_n50000_m5_seed42.json
v19,50000,5,7,180000,4915554.686754469,True,166.434868,166.434868,v19_n50000_m5_seed7_t180000.json
v19,50000,5,13,180000,4967571.354240695,True,143.279653,143.279653,v19_n50000_m5_seed13_t180000.json
v19,50000,5,42,180000,4767321.627303371,True,144.316549,144.316549,v19_n50000_m5_seed42_t180000.json
2optgreed,50000,7,7,,5083695.978183911,True,41.287951,41.287951,2optgreed_n50000_m7_seed7.json
2optgreed,50000,7,13,,5083695.978183911,True,35.816117,35.816117,2optgreed_n50000_m7_seed13.json
2optgreed,50000,7,42,,5083695.978183911,True,36.067268,36.067268,2optgreed_n50000_m7_seed42.json
v19,50000,7,7,180000,5355924.192523415,True,171.546242,171.546242,v19_n50000_m7_seed7_t180000.json
v19,50000,7,13,180000,5261328.975760994,True,192.736633,192.736633,v19_n50000_m7_seed13_t180000.json
v19,50000,7,42,180000,5378515.99791867,True,180.692255,180.692255,v19_n50000_m7_seed42_t180000.json
2optgreed,100000,5,7,,13128456.276115276,True,208.471178,208.471178,2optgreed_n100000_m5_seed7.json
2optgreed,100000,5,42,,13128456.276115276,True,210.534595,210.534595,2optgreed_n100000_m5_seed42.json
v19,100000,5,7,300000,13216136.379243407,True,304.784472,304.784472,v19_n100000_m5_seed7_t300000.json
v19,100000,5,42,300000,13211283.910943935,True,300.828938,300.828938,v19_n100000_m5_seed42_t300000.json
