"solver","runs","ok_valid_runs","avg_objective","avg_wall_seconds","timeouts","skipped"
"2opt+greed","1","0",,"0.502273","0","0"
"filo2-cvrp-adapter","1","0",,"0","0","1"
"grasp","1","0",,"0.453932","0","0"
"lkh3-baseline","1","0",,"0.400127","0","0"
"lkh-wrapper-v12","1","0",,"0.407711","0","0"
