"solver","runs","ok_valid_runs","avg_objective","avg_wall_seconds","timeouts","skipped"
"2opt+greed","1","0",,"0.457548","0","0"
"filo2-cvrp-adapter","1","0",,"0.370098","0","0"
"grasp","1","0",,"0.404916","0","0"
"lkh3-baseline","1","0",,"0.40789","0","0"
"lkh-wrapper-v12","1","0",,"0.403533","0","0"
