MTSP_BASELINE, Cost: 0_8524092
The tours traveled by the 100 salesmen are:
1 8807 1 (#1)  Cost: 36100
1 8986 1 (#1)  Cost: 36206
1 9137 1 (#1)  Cost: 36216
1 3821 1 (#1)  Cost: 36360
1 1684 1 (#1)  Cost: 36416
1 2440 1 (#1)  Cost: 36456
1 2233 1 (#1)  Cost: 36498
1 4702 1 (#1)  Cost: 36522
1 1784 1 (#1)  Cost: 36612
1 841 1 (#1)  Cost: 36822
1 2264 1 (#1)  Cost: 36908
1 4559 1 (#1)  Cost: 36948
1 8574 1 (#1)  Cost: 37094
1 5818 1 (#1)  Cost: 37124
1 237 1 (#1)  Cost: 37144
1 9836 1 (#1)  Cost: 37294
1 8169 1 (#1)  Cost: 37304
1 2042 1 (#1)  Cost: 37326
1 854 1 (#1)  Cost: 37558
1 4326 1 (#1)  Cost: 37776
1 7353 1 (#1)  Cost: 37862
1 1436 1 (#1)  Cost: 37870
1 5349 1 (#1)  Cost: 37904
1 9405 1 (#1)  Cost: 38148
1 296 1 (#1)  Cost: 38158
1 375 1 (#1)  Cost: 38288
1 6950 1 (#1)  Cost: 38322
1 8687 1 (#1)  Cost: 38384
1 4736 1 (#1)  Cost: 38486
1 2081 1 (#1)  Cost: 38644
1 6267 1 (#1)  Cost: 38698
1 9181 3324 5161 6189 9436 2154 8809 2449 2097 4043 7283 3499 789 1754 15 1352 4556 5376 5563 96 925 1 (#21)  Cost: 74439
1 9596 5342 9498 5414 6704 1300 2566 1008 9426 2588 1388 1 (#11)  Cost: 44514
